,Role,07/12/17 - 07/11/18,07/12/18 - 07/11/19,07/12/19 - 07/11/20,07/12/20 - 07/11/21,07/12/21 - 07/11/22,Education,Functional Responsibility,Years of Experience,Company,socio_economic
15,Functional Specialist 1,119.47,121.7,125.23,128.86,132.6,Bachelor's,"The Functional Specialist 1s provide knowledge in industry, process or technology areas. The Functional Specialist 1 responsibilities may include, Plan and manage the work of information systems project teams, Design and implement new organization structures, conceptual design and development of training curricula, Assist an organization to translate its vision and strategy into core human resource and business process, Lead clients through streamlining, reengineering and transforming business processes, Develop and execute project budgets Level 1 performs more routine aspects of the position and is supervised by higher levels.",3,Accenture Federal Services,Other than small business
16,Functional Specialist 2,161.3,164.32,169.09,173.99,179.04,Bachelor's,"The Functional Specialist 2s provide knowledge in industry, process or technology areas. The Functional Specialist 1 responsibilities may include, Plan and manage the work of information systems project teams, Design and implement new organization structures, conceptual design and development of training curricula, Assist an organization to translate its vision and strategy into core human resource and business process, Lead clients through streamlining, reengineering and transforming business processes, Develop and execute project budgets. Level 2 performs more varied and difficult tasks compared to Level 1, yet has less autonomy than Level 3.",5,Accenture Federal Services,Other than small business
17,Functional Specialist 3,195.75,199.42,205.2,211.15,217.27,Bachelor's,"The Functional Specialist 3s provide knowledge in industry, process or technology areas. The Functional Specialist 1 responsibilities may include, Plan and manage the work of information systems project teams;, Design and implement new organization structures, conceptual design and development of training curricula, Assist an organization to translate its vision and strategy into core human resource and business process, Lead clients through streamlining, reengineering and transforming business processes, Develop and execute project budgets. Level 3 is competent in subject matter and concepts and may lead individuals assisting in the work.",8,Accenture Federal Services,Other than small business
18,Consultant 1,113.57,115.69,119.05,122.5,126.05,Bachelor's,"Consultant 1s apply their skills in such areas as systems development, knowledge of business processes, technical background or supervisory capacity to implement business solutions. For example, Consultants may perform tasks such as, Develop functional and technical information system designs, Supervise business integration analysts in the development of software designs, computer programming, system testing or training curricula, Lead business process redesign teams in the development of new business process architectures, Design training programs for information systems users, Participate in quality reviews to ensure work complies with specified standards, Develop teamwork plans, Perform workflow analyses, Design and manage databases, Define information systems requirements, Assist in project budget preparation. Level 1 performs more routine aspects of the position and is supervised by higher levels.",3,Accenture Federal Services,Other than small business
19,Consultant 2,152.14,154.98,159.47,164.09,168.85,Bachelor's,"Consultant 2s apply their skills in such areas as systems development, knowledge of business processes, technical background or supervisory capacity to implement business solutions. For example, Consultants may perform tasks such as, Develop functional and technical information system designs, Supervise business integration analysts in the development of software designs, computer programming, system testing or training curricula, Lead business process redesign teams in the development of new business process architectures, Design training programs for information systems users, Participate in quality reviews to ensure work complies with specified standards, Develop teamwork plans, Perform workflow analyses, Design and manage databases, Define information systems requirements, Assist in project budget preparation. Level 2 performs more varied and difficult tasks compared to Level 1, yet has less autonomy than Level 3.",5,Accenture Federal Services,Other than small business
20,Consultant 3,185.45,188.92,194.4,200.04,205.84,Bachelor's,"Consultant 3s apply their skills in such areas as systems development, knowledge of business processes, technical background or supervisory capacity to implement business solutions. For example, Consultants may perform tasks such as, Develop functional and technical information system designs, Supervise business integration analysts in the development of software designs, computer programming, system testing or training curricula, Lead business process redesign teams in the development of new business process architectures, Design training programs for information systems users, Participate in quality reviews to ensure work complies with specified standards, Develop teamwork plans, Perform workflow analyses, Design and manage databases, Define information systems requirements, Assist in project budget preparation. Level 3 is competent in subject matter and concepts and may lead individuals assisting in the work.",8,Accenture Federal Services,Other than small business
21,Engineer 1,107.83,109.85,113.04,116.32,119.69,Bachelor's,"The Engineer 1 provides knowledge in design, architecture, development and administration. The Engineer may, Monitor existing systems for structural integrity., Oversee the development and installation of new hardware and software., Install and configure operating systems and other software and routinely test installed software for glitch detection and other issues., Provide technical direction to IT support staff, Design and implement security systems and redundant backups to maintain data safety, Write custom scripts to reduce the need for human intervention, Create saleable, automated solutions for our customer base, Establish multi-platform versions of the software package, Write tests for existing and created code to ensure compatibility and stability, Evaluate, recommend, and implement automated test tools and strategies, Design, implement, and conduct test and evaluation procedures to ensure system requirements are met, Evaluate hardware and software and resolve LAN/MAN/WAN network related problems. Level 1 performs more routine aspects of the position and is supervised by higher levels.",0,Accenture Federal Services,Other than small business
22,Engineer 2,138.72,141.31,145.41,149.63,153.97,Bachelor's,"The Engineer 2 provides knowledge in design, architecture, development and administration. The Engineer may, Monitor existing systems for structural integrity., Oversee the development and installation of new hardware and software., Install and configure operating systems and other software and routinely test installed software for glitch detection and other issues., Provide technical direction to IT support staff, Design and implement security systems and redundant backups to maintain data safety, Write custom scripts to reduce the need for human intervention, Create scaleable, automated solutions for our customer base, Establish multi-platform versions of the software package, Write tests for existing and created code to ensure compatibility and stability, Evaluate, recommend, and implement automated test tools and strategies, Design, implement, and conduct test and evaluation procedures to ensure system requirements are met, Evaluate hardware and software and resolve LAN/MAN/WAN network related problems. Level 2 performs more varied and difficult tasks compared to Level 1, yet has less autonomy than Level 3.",2,Accenture Federal Services,Other than small business
23,Engineer 3,161.3,164.32,169.09,173.99,179.04,Bachelor's,"The Engineer 3 provides knowledge in design, architecture, development and administration. The Engineer may, Monitor existing systems for structural integrity, Oversee the development and installation of new hardware and software, Install and configure operating systems and other software and routinely test installed software for glitch detection and other issues., Provide technical direction to IT support staff, Design and implement security systems and redundant backups to maintain data safety, Write custom scripts to reduce the need for human intervention, Create scaleable, automated solutions for our customer base, Establish multi-platform versions of the software package, Write tests for existing and created code to ensure compatibility and stability, Evaluate, recommend, and implement automated test tools and strategies, Design, implement, and conduct test and evaluation procedures to ensure system requirements are met, Evaluate hardware and software and resolve LAN/MAN/WAN network related problems. Level 3 is competent in subject matter and concepts and may lead individuals assisting in the work.",3,Accenture Federal Services,Other than small business
24,Technical Writer,109.93,111.99,115.24,118.58,122.02,Bachelor's,"The Technical Writer writes and updates material such as reports, manuals, briefs, proposals, instruction books, catalogs, and related technical and administrative publications concerned with work methods and procedures, and installation, operation, and maintenance.",2,Accenture Federal Services,Other than small business
25,Help Desk Manager,118.34,120.55,124.05,127.65,131.35,Associate's,"The Help Desk Manager supervises and coordinates activities of Help Desk Specialists, Coordinators or Technicians. This individual identifies, troubleshoots, or resolves information systems problems to minimize down time of applications and personnel. The Help Desk Manager may, Assist computer users with hardware and software questions and problems,, Field telephone calls and e-mail messages from customers seeking guidance on technical problems, Diagnose nature of problems, and assisting customers through problem solving steps.",2,Accenture Federal Services,Other than small business
26,Help Desk Specialist,75.94,77.36,79.6,81.91,84.29,Associate's,"The Help Desk Specialist analyzes problems and provides technical assistance, support, and advice to end users for hardware, software, and systems through phone, email, or chat. This individual resolves computer software and hardware problems of users, and acts as a contact for users having problems using computer software, hardware, and operating systems. The Help Desk Specialist answers questions, applying knowledge of computer software, hardware, systems, and procedures.",1,Accenture Federal Services,Other than small business
27,Programmer 1,84.77,86.36,88.86,91.44,94.09,Bachelor's,"The Programmer 1 is responsible for activities such as program design, coding, testing, debugging or documentation. This individual has technical knowledge and responsibility of all phases of applications systems analysis and programming, and understands the business or function for which application is designed. The Programmer may, Write programs according to specifications, which may be provided by Engineers, technical architects, or other computer scientists, Update, repair, modify and expand existing computer programs. Level 1 performs more routine aspects of the position and is supervised by higher levels.",0,Accenture Federal Services,Other than small business
28,Programmer 2,133.43,135.93,139.87,143.93,148.1,Bachelor's,"The Programmer 2 is responsible for activities such as program design, coding, testing, debugging or documentation. This individual has technical knowledge and responsibility of all phases of applications systems analysis and programming. Understands the business or function for which application is designed. The Programmer may, Write programs according to specifications, which may be provided by Engineers, technical architects, or other computer scientists, Update, repair, modify and expand existing computer programs. Level 2 performs more varied and difficult tasks compared to Level 1, yet has less autonomy than Level 3.",2,Accenture Federal Services,Other than small business
29,Programmer 3,180.64,184.02,189.36,194.85,200.5,Bachelor's,"The Programmer 3 is responsible for activities such as program design, coding, testing, debugging or documentation. This individual has technical knowledge and responsibility of all phases of applications systems analysis and programming. Understands the business or function for which application is designed. The Programmer may, Write programs according to specifications, which may be provided by Engineers, technical architects, or other computer scientists, Update, repair, modify and expand existing computer programs. Level 3 is competent in subject matter and concepts and may lead individuals assisting in the work.",5,Accenture Federal Services,Other than small business
30,Operations Manager,145.93,148.66,152.97,157.41,161.97,Bachelor's,"The Operation Manager manages, coordinates, or organizes department operation strategies and activities. The Operation Manager may, Collaborate in the development and implementation of organization policies, practices, procedures, and attainment of operating goals, Review, analyze, and prepare reports, records, and directives, and confers with managers/supervisors to obtain data required for planning activities, such as new commitments, status of work in progress, and problems encountered, Disseminate policies and objectives to supervisors/staff.",3,Accenture Federal Services,Other than small business
31,Agile Coach,187.31,190.81,196.34,202.03,207.89,Bachelor's,"The Agile Coach may assist or lead teams to apply Agile thinking to the specific environment and impediments they face. The Coach works as an advisor and helps the team adapt the methodology to their environment, and challenge the existing environment.",8,Accenture Federal Services,Other than small business
32,Scrum Master,216.69,220.74,227.14,233.73,240.51,Bachelor's,"The Scrum Master may facilitate or guide a software development product owner, team, and organization on how to use Agile/Scrum concepts, values, practices, and principles focusing on improving team effectiveness. The Scrum Master leads discussions and decision making, and assists in mediation of conflict resolution.",6,Accenture Federal Services,Other than small business
33,Financial Analyst,161.3,164.32,169.09,173.99,179.04,Bachelor's,"The Financial Analyst analyzes past and present financial data of organization and estimates future revenues and expenditures, applying principles of finance. The Financial Analyst may, Run and document financial analysis projects, Aid organization with financial functions, such as assessing, auditing, planning, budgeting, taxes, consolidation, cost control, and project control, Evaluate and analyze capital expenditures, depreciation, proposals, investment opportunities, rate of return, profit plans, operating records, financial statements, etc.",3,Accenture Federal Services,Other than small business
34,Data Architect,187.31,190.81,196.34,202.03,207.89,Bachelor's,"The Data Architect may define, design, or develop relational and/or multi-dimensional databases for warehousing of data. The Data Architect reviews current data structures and recommends optimizations and reconfigurations as warranted.",7,Accenture Federal Services,Other than small business
35,Program Analyst,109.93,111.99,115.24,118.58,122.02,Bachelor's,"The Program Analyst analyzes and critiques computer programs and systems, or develops new programs. The Program Analyst may, Review user’s requests for new or modified computer programs to determine feasibility, cost and time required, compatibility with current system, and computer capabilities, Outline steps required to develop programs, using structured analysis and design, Plan, develop, test, and document computer programs, applying knowledge of programming techniques and computer systems.",2,Accenture Federal Services,Other than small business
36,Application Architect 1,129.09,131.5,135.31,139.23,143.27,Bachelor's,"The Application Architect 1 may plan, design, develop, redesign or enhance, install, or implement various technology products, or enhance computer programs. This individual applies knowledge of software and programming to develop and test computer systems and produce the necessary outcome for clients. The Application Architect may draft technical white papers to better understand the technology behind them, and to provide instructions that help the client better understand the nature and applications of a specific product. Level 1 performs more routine aspects of the position and is supervised by higher levels.",3,Accenture Federal Services,Other than small business
37,Application Architect 2,162.35,165.39,170.19,175.13,180.21,Bachelor's,"The Application Architect 2 may plan, design, develop, redesign or enhance, install, or implement various technology products, or enhance computer programs. This individual applies knowledge of software and programming to develop and test computer systems and produce the necessary outcome for clients. The Application Architect may draft technical white papers to better understand the technology behind them, and to provide instructions that help the client better understand the nature and applications of a specific product. Level 2 performs more varied and difficult tasks compared to Level 1, yet has less autonomy than Level 3.",5,Accenture Federal Services,Other than small business
38,Application Architect 3,187.31,190.81,196.34,202.03,207.89,Bachelor's,"The Application Architect 3 may plan, design, develop, redesign or enhance, install, or implement various technology products, or enhance computer programs. This individual applies knowledge of software and programming to develop and test computer systems and produce the necessary outcome for clients. The Application Architect may draft technical white papers to better understand the technology behind them, and to provide instructions that help the client better understand the nature and applications of a specific product. Level 3 is competent in subject matter and concepts and may lead individuals assisting in the work.",7,Accenture Federal Services,Other than small business
39,Customer Service and Support Technician 1,60.8,61.93,63.73,65.58,67.48,Associate's,"The Customer Service and Support Technician 1 may perform some of the following tasks, Answers inquiries by clarifying desired information; researching, locating, and providing information, Resolves problems by clarifying issues; researching and exploring answers and alternative solutions; implementing solutions; escalating unresolved problems, Fulfills requests by clarifying desired information; completing transactions; forwarding requests, Maintains call center database by entering information and document customer interaction, Updates job knowledge by participating in educational opportunities and knowledge management, Answers inquiries by clarifying desired information; researching, locating, and providing information., Resolves problems by clarifying issues; researching and exploring answers and alternative solutions; implementing solutions; escalating unresolved problems., Fulfills requests by clarifying desired information; completing transactions; forwarding requests., Maintains call center database by entering information and document customer interaction., Updates job knowledge by participating in educational opportunities and knowledge management., Develops appropriate reporting requirements by supervisor or manager, Handles Subject Matter Expert inquiries and assist other team members, Assists in the training of new-hires and assist in quality assurance activities. Level 1 performs more routine aspects of the position and is supervised by higher levels.",0,Accenture Federal Services,Other than small business
40,Customer Service and Support Technician 2,79.0,80.48,82.81,85.21,87.68,Associate's,"The Customer Service and Support Technician 2 may perform some of the following tasks, Answers inquiries by clarifying desired information; researching, locating, and providing information, Resolves problems by clarifying issues; researching and exploring answers and alternative solutions; implementing solutions; escalating unresolved problems, Fulfills requests by clarifying desired information; completing transactions; forwarding requests, Maintains call center database by entering information and document customer interaction, Updates job knowledge by participating in educational opportunities and knowledge management, Answers inquiries by clarifying desired information; researching, locating, and providing information, Resolves problems by clarifying issues; researching and exploring answers and alternative solutions; implementing solutions; escalating unresolved problems, Fulfills requests by clarifying desired information; completing transactions; forwarding requests, Maintains call center database by entering information and document customer interaction, Updates job knowledge by participating in educational opportunities and knowledge management, Develops appropriate reporting requirements by supervisor or manager, Handles Subject Matter Expert inquiries and assist other team members, Assists in the training of new-hires and assist in quality assurance activities. Level 2 performs more varied and difficult tasks compared to Level 1, yet has less autonomy than Level 3.",1,Accenture Federal Services,Other than small business
41,Customer Service and Support Technician 3,89.04,90.7,93.33,96.04,98.83,Associate's,"The Customer Service and Support Technician 3 may perform some of the following tasks, Answers inquiries by clarifying desired information; researching, locating, and providing information, Resolves problems by clarifying issues; researching and exploring answers and alternative solutions; implementing solutions; escalating unresolved problems, Fulfills requests by clarifying desired information; completing transactions; forwarding requests, Maintains call center database by entering information and document customer interaction, Updates job knowledge by participating in educational opportunities and knowledge management, Answers inquiries by clarifying desired information; researching, locating, and providing information, Resolves problems by clarifying issues; researching and exploring answers and alternative solutions; implementing solutions; escalating unresolved problems, Fulfills requests by clarifying desired information; completing transactions; forwarding requests, Maintains call center database by entering information and document customer interaction, Updates job knowledge by participating in educational opportunities and knowledge management, Develops appropriate reporting requirements by supervisor or manager, Handles Subject Matter Expert inquiries and assist other team members, Assists in the training of new-hires and assist in quality assurance activities. Level 3 is competent in subject matter and concepts and may lead individuals assisting in the work.",2,Accenture Federal Services,Other than small business
42,Customer Service and Support Supervisor 1,79.0,80.48,82.81,85.21,87.68,Associate's,"The Customer Service and Support Supervisor 1 may perform the following tasks, Maintains call center database by entering and verifying information; updating contact log, Improves quality results by recommending changes and coaching representatives, Updates job knowledge by participating in educational opportunities and knowledge management, Manages representatives and ensures appropriate training, Enhances organization reputation by accepting ownership for accomplishing new and different requests; exploring opportunities to add value to job accomplishments. Level 1 performs more routine aspects of the position and is supervised by higher levels.",1,Accenture Federal Services,Other than small business
43,Customer Service and Support Supervisor 2,89.04,90.7,93.33,96.04,98.83,Associate's,"The Customer Service and Support Supervisor 2 may perform the following tasks, Maintains call center database by entering and verifying information; updating contact log, Improves quality results by recommending changes and coaching representatives, Updates job knowledge by participating in educational opportunities and knowledge management, Manages representatives and ensures appropriate training, Enhances organization reputation by accepting ownership for accomplishing new and different requests; exploring opportunities to add value to job accomplishments. Level 2 performs more varied and difficult tasks compared to Level 1, yet has less autonomy than Level 3.",2,Accenture Federal Services,Other than small business
44,Customer Service and Support Supervisor 3,98.26,100.1,103.0,105.99,109.06,Associate's,"The Customer Service and Support Supervisor 3 may perform the following tasks, Maintains call center database by entering and verifying information; updating contact log, Improves quality results by recommending changes and coaching representatives, Updates job knowledge by participating in educational opportunities and knowledge management, Manages representatives and ensures appropriate training, Enhances organization reputation by accepting ownership for accomplishing new and different requests; exploring opportunities to add value to job accomplishments. Level 3 is competent in subject matter and concepts and may lead individuals assisting in the work.",3,Accenture Federal Services,Other than small business
45,Customer Service and Support Manager 1,89.04,90.7,93.33,96.04,98.83,Associate's,"The Customer Service and Support Manager 1 may perform the following tasks, Determines call center operational strategies by conducting needs assessments, performance reviews, capacity planning, and cost/benefit analyses; identifying and evaluating state-of-the-art technologies; defining user requirements; establishing technical specifications, and production, productivity, quality, and customer-service standards; contributing information and analysis to organizational strategic plans and reviews, Maintains and improves call center operations by monitoring system performance; identifying and resolving problems; preparing and completing action plans; completing audits and analyses; managing process improvement and quality assurance programs, Accomplishes call center human resource objectives by recruiting, selecting, orienting, training, assigning, coaching, counseling, and disciplining employees; administering scheduling systems; communicating job expectations; planning, monitoring, appraising, and reviewing job contributions; planning and reviewing compensation actions; enforcing policies and procedures, Prepares call center performance reports by collecting, analyzing, and summarizing data and trends, Accomplishes organization goals by accepting ownership for accomplishing new and different requests; exploring opportunities to add value to job accomplishments. Level 1 performs more routine aspects of the position and is supervised by higher levels.",2,Accenture Federal Services,Other than small business
46,Customer Service and Support Manager 2,98.26,100.1,103.0,105.99,109.06,Associate's,"The Customer Service and Support Manager 2 may perform the following tasks, Determines call center operational strategies by conducting needs assessments, performance reviews, capacity planning, and cost/benefit analyses; identifying and evaluating state-of-the-art technologies; defining user requirements; establishing technical specifications, and production, productivity, quality, and customer-service standards; contributing information and analysis to organizational strategic plans and reviews, Maintains and improves call center operations by monitoring system performance; identifying and resolving problems; preparing and completing action plans; completing audits and analyses; managing process improvement and quality assurance programs, Accomplishes call center human resource objectives by recruiting, selecting, orienting, training, assigning, coaching, counseling, and disciplining employees; administering scheduling systems; communicating job expectations; planning, monitoring, appraising, and reviewing job contributions; planning and reviewing compensation actions; enforcing policies and procedures, Prepares call center performance reports by collecting, analyzing, and summarizing data and trends, Accomplishes organization goals by accepting ownership for accomplishing new and different requests; exploring opportunities to add value to job accomplishments. Level 2 performs more varied and difficult tasks compared to Level 1, yet has less autonomy than Level 3.",3,Accenture Federal Services,Other than small business
47,Customer Service and Support Manager 3,116.78,118.97,122.42,125.97,129.62,Associate's,"The Customer Service and Support Manager 3 may perform the following tasks, Determines call center operational strategies by conducting needs assessments, performance reviews, capacity planning, and cost/benefit analyses; identifying and evaluating state-of-the-art technologies; defining user requirements; establishing technical specifications, and production, productivity, quality, and customer-service standards; contributing information and analysis to organizational strategic plans and reviews, Maintains and improves call center operations by monitoring system performance; identifying and resolving problems; preparing and completing action plans; completing audits and analyses; managing process improvement and quality assurance programs, Accomplishes call center human resource objectives by recruiting, selecting, orienting, training, assigning, coaching, counseling, and disciplining employees; administering scheduling systems; communicating job expectations; planning, monitoring, appraising, and reviewing job contributions; planning and reviewing compensation actions; enforcing policies and procedures, Prepares call center performance reports by collecting, analyzing, and summarizing data and trends, Accomplishes organization goals by accepting ownership for accomplishing new and different requests; exploring opportunities to add value to job accomplishments. Level 3 is competent in subject matter and concepts and may lead individuals assisting in the work.",4,Accenture Federal Services,Other than small business
48,Application Systems Analyst,162.35,165.39,170.19,175.13,180.21,Bachelor's,"The Application Systems Analyst may oversee the implementation of required hardware and software components for approved applications, coordinate tests of the application system to provide proper performance, or develop diagrams and flow charts for computer programmers to follow. The Application Systems Analyst reviews, analyzes, and modifies programming systems, including encoding, debugging, and installing to support an organization's application systems. The Application Systems Analyst develops application specifications, identifies the required inputs, and formats the output to meet users' needs.",4,Accenture Federal Services,Other than small business
49,Security Specialist 1,108.55,110.58,113.79,117.09,120.49,Bachelor's,"The Security Specialist 1 may identify or resolve highly complex issues to prevent cyberattacks on information systems or keep computer information systems secure from interruption of service, intellectual property theft, network viruses, data mining, financial theft, or theft of sensitive customer data, allowing business to continue as normal. The Security Specialist designs, installs, and manages security mechanisms that protect networks and information systems against hackers, breaches, viruses, and spyware. This individual responds to incidents, investigates violations, and recommends enhancements to plug potential security gaps. Level 1 performs more routine aspects of the position and is supervised by higher levels.",0,Accenture Federal Services,Other than small business
50,Security Specialist 2,138.72,141.31,145.41,149.63,153.97,Bachelor's,"The Security Specialist 2 may identify or resolve highly complex issues to prevent cyberattacks on information systems or keep computer information systems secure from interruption of service, intellectual property theft, network viruses, data mining, financial theft, or theft of sensitive customer data, allowing business to continue as normal. The Security Specialist designs, installs, and manages security mechanisms that protect networks and information systems against hackers, breaches, viruses, and spyware. This individual responds to incidents, investigates violations, and recommends enhancements to plug potential security gaps. Level 2 performs more varied and difficult tasks compared to Level 1, yet has less autonomy than Level 3.",3,Accenture Federal Services,Other than small business
51,Security Specialist 3,187.31,190.81,196.34,202.03,207.89,Bachelor's,"The Security Specialist 3 may identify or resolve highly complex issues to prevent cyberattacks on information systems or keep computer information systems secure from interruption of service, intellectual property theft, network viruses, data mining, financial theft, or theft of sensitive customer data, allowing business to continue as normal. The Security Specialist designs, installs, and manages security mechanisms that protect networks and information systems against hackers, breaches, viruses, and spyware. This individual responds to incidents, investigates violations, and recommends enhancements to plug potential security gaps. Level 3 is competent in subject matter and concepts and may lead individuals assisting in the work.",7,Accenture Federal Services,Other than small business
