,Role,2018_2019,2019_2020,2020_2021,2021_2022,2022_2023,2023_2024,2024_2025,Education,Functional Responsibility,Years of Experience,Company,socio_economic
15,Administrative Assistant Level I,45.84,47.17,48.57,49.99,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,"BAE SYSTEMS, INC",
16,Administrative Assistant Level I,42.7,44.07,45.48,46.93,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,CIBER INC,
17,Administrative Assistant Level I,29.86,30.76,31.68,32.63,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,"A-TEK, INC",
18,Administrative Assistant Level I,43.94,44.78,45.63,46.5,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,DYNAMICS RESEARCH CORPORATION (DRC),
19,Administrative Assistant Level I,68.28,70.16,72.09,74.07,,,,,"Administrative Assistant (Series AA) Level I (AA01) - Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,AQUILENT INC,
20,Administrative Assistant Level I,51.44,52.98,54.57,56.21,,,,,"Administrative Assistant (Series AA) Level I (AA01) - Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,JACOBS ENGINEERING GROUP INC,
21,Administrative Assistant Level I,37.28,38.21,39.17,40.15,,,,,"Administrative Assistant (Series AA) Level I (AA01) - Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,SMARTRONIX INC,
22,Administrative Assistant Level I,47.9,49.58,51.31,53.11,,,,,"Administrative Assistant (Series AA) Level I (AA01) - Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,CGI GROUP INC,
23,Administrative Assistant Level I,46.1,47.49,48.91,50.38,,,,,"Administrative Assistant (Series AA) Level I (AA01) - Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,ELECTRONIC CONSULTING SERVICES INC (ECS),
24,Administrative Assistant Level I,27.08,27.62,28.17,28.74,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,"CREATIVE COMPUTING SOLUTIONS, INC",
25,Administrative Assistant Level I,30.35,30.81,31.27,31.74,,,,,"Administrative Assistant (Series AA) Level I (AA01) - Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,ONPOINT CONSULTING INC,
26,Administrative Assistant Level I,20.12,20.38,20.65,20.92,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,"CREATIVE INFORMATION TECHNOLOGY, INC (CITI)",
27,Administrative Assistant Level I,51.43,52.97,54.56,56.2,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,ICF INTERNATIONAL INC,
28,Administrative Assistant Level I,42.23,43.33,44.5,45.74,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,"AAC, INC",
29,Administrative Assistant Level I,41.8,42.22,42.64,42.64,,,,,"Administrative Assistant (Series AA) Level I (AA01) - Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,ADVANCED TECHNOLOGY SYSTEMS INC,
30,Administrative Assistant Level I,31.27,32.21,33.18,34.17,,,,,"Administrative Assistant (Series AA) Level I (AA01) - Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,L-3 NATIONAL SECURITY SOLUTIONS INC,
31,Administrative Assistant Level I,37.98,38.74,39.51,40.3,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,CATAPULT HEALTH TECHNOLOGY GROUP (CHTG) JV,
32,Administrative Assistant Level I,46.38,47.77,49.2,50.68,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,MAXIMUS INC,
33,Administrative Assistant Level I,32.99,33.95,34.94,35.95,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,IBM CORPORATION,
34,Administrative Assistant Level I,36.02,36.94,37.89,38.88,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,NORTHROP GRUMMAN CORPORATION,
35,Administrative Assistant Level I,45.36,46.72,48.12,49.57,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,PRAGMATICS INC,
36,Administrative Assistant Level I,44.9,46.02,47.17,48.35,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,"LEIDOS, INC.",
37,Administrative Assistant Level I,26.52,27.19,27.86,28.56,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,SRA INTERNATIONAL INC,
38,Administrative Assistant Level I,48.13,49.1,50.07,51.18,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,UNISYS CORPORATION,
39,Administrative Assistant Level I,26.89,27.43,27.98,28.54,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,VSE CORPORATION,
40,Administrative Assistant Level I,51.67,53.22,54.81,56.46,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,UNIVERSAL HI-TECH DEVELOPMENT INC,
41,Administrative Assistant Level I,31.71,32.34,32.99,33.65,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,INDUS CORPORATION,
42,Administrative Assistant Level I,49.33,50.57,51.83,53.13,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,STG INC,
43,Administrative Assistant Level I,36.41,37.25,38.11,38.99,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,PRICEWATERHOUSECOOPERS LLP,
44,Administrative Assistant Level I,39.71,40.78,41.87,42.99,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,SERCO GROUP PLC,
45,Administrative Assistant Level I,42.94,44.31,45.73,47.19,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,SGT INCORPORATED,
46,Administrative Assistant Level I,46.84,48.02,49.23,50.49,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,LOCKHEED MARTIN CORPORATION,
47,Administrative Assistant Level I,35.91,36.99,38.1,39.24,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,VISTRONIX INC,
48,Administrative Assistant Level I,42.02,43.28,44.58,45.92,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,PROJECT PERFORMANCE CORPORATION,
49,Administrative Assistant Level I,25.96,26.61,27.28,27.96,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,OMNITEC SOLUTIONS INC,
50,Administrative Assistant Level I,40.88,42.2,43.57,44.97,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,QUALITY SOFTWARE SERVICES INC (QSSI),
51,Administrative Assistant Level I,45.69,46.88,48.1,49.35,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,LGS INNOVATIONS LLC,
52,Administrative Assistant Level I,29.28,29.87,30.46,31.07,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,NCI INC,
53,Administrative Assistant Level I,49.19,50.66,52.18,53.75,,,,,"Administrative Assistant (Series AA) Level I (AA01) ? Provide administrative support specifically dedicated to the requirements of the project team. Plan and produce correspondence, reports, proposals, memos, and other documentation using a personal computer. Operate spreadsheet software such as Excel to produce finished documents. Proofread completed documents. Provide copying and production support as needed. Commensurate experience and education.",,"HYGEIA SOLUTION PARTNERS, LLC",
54,Administrative Assistant Level II,64.2,65.49,66.8,68.13,,,,,"Administrative Assistant (Series AA) Level II (AA02) Provide administrative support specifically dedicated to the requirements of the project team. Perform a wide range of clerical and administrative duties including, for example, typing, filing, tracking of time records, word processing, dictation, and composition of correspondence. Commensurate experience and education.",,BOOZ ALLEN HAMILTON,
55,Administrative Assistant Level II,56.14,57.84,59.63,61.47,,,,,"Administrative Assistant (Series AA) Level II (AA02) ? Provide administrative support specifically dedicated to the requirements of the project team. Perform a wide range of clerical and administrative duties including, for example, typing, filing, tracking of time records, word processing, dictation, and composition of correspondence. Commensurate experience and education.",,ACCENTURE,
56,Administrative Assistant Level II,39.07,39.86,40.66,41.47,,,,,"Administrative Assistant (Series AA) Level II (AA02) ? Provide administrative support specifically dedicated to the requirements of the project team. Perform a wide range of clerical and administrative duties including, for example, typing, filing, tracking of time records, word processing, dictation, and composition of correspondence. Commensurate experience and education.",,CACI INTERNATIONAL INC,
57,Administrative Assistant Level II,48.06,49.5,50.99,52.52,,,,,"Administrative Assistant (Series AA) Level II (AA02) ? Provide administrative support specifically dedicated to the requirements of the project team. Perform a wide range of clerical and administrative duties including, for example, typing, filing, tracking of time records, word processing, dictation, and composition of correspondence. Commensurate experience and education.",,CACI INTERNATIONAL INC,
58,Administrative Assistant Level II,60.92,62.75,64.64,66.59,,,,,"Administrative Assistant (Series AA) Level II (AA02) ? Provide administrative support specifically dedicated to the requirements of the project team. Perform a wide range of clerical and administrative duties including, for example, typing, filing, tracking of time records, word processing, dictation, and composition of correspondence. Commensurate experience and education.",,COMPUTER SCIENCES CORPORATION (CSC),
59,Administrative Assistant Level II,47.61,48.9,50.22,51.58,,,,,"Administrative Assistant (Series AA) Level II (AA02) ? Provide administrative support specifically dedicated to the requirements of the project team. Perform a wide range of clerical and administrative duties including, for example, typing, filing, tracking of time records, word processing, dictation, and composition of correspondence. Commensurate experience and education.",,GENERAL DYNAMICS CORPORATION,
60,Administrative Assistant Level II,51.17,52.44,53.76,55.1,,,,,"Administrative Assistant (Series AA) Level II (AA02) ? Provide administrative support specifically dedicated to the requirements of the project team. Perform a wide range of clerical and administrative duties including, for example, typing, filing, tracking of time records, word processing, dictation, and composition of correspondence. Commensurate experience and education.",,HARRIS CORPORATION,
61,Administrative Assistant Level II,53.72,55.41,57.16,58.58,,,,,"Administrative Assistant (Series AA) Level II (AA02) ? Provide administrative support specifically dedicated to the requirements of the project team. Perform a wide range of clerical and administrative duties including, for example, typing, filing, tracking of time records, word processing, dictation, and composition of correspondence. Commensurate experience and education.",,HEWLETT-PACKARD COMPANY (HP),
62,Administrative Assistant Level II,48.85,50.12,51.43,52.76,,,,,"Administrative Assistant (Series AA) Level II (AA02) ? Provide administrative support specifically dedicated to the requirements of the project team. Perform a wide range of clerical and administrative duties including, for example, typing, filing, tracking of time records, word processing, dictation, and composition of correspondence. Commensurate experience and education.",,XEROX CORPORATION,
63,Administrative Assistant Level II,47.53,49.19,50.91,52.69,,,,,"Administrative Assistant (Series AA) Level II (AA02) ? Provide administrative support specifically dedicated to the requirements of the project team. Perform a wide range of clerical and administrative duties including, for example, typing, filing, tracking of time records, word processing, dictation, and composition of correspondence. Commensurate experience and education.",,MANTECH INTERNATIONAL CORP,
64,Administrative Assistant Level II,42.77,43.45,44.15,44.86,,,,,"Administrative Assistant (Series AA) Level II (AA02) - Provide administrative support specifically dedicated to the requirements of the project team. Perform a wide range of clerical and administrative duties including, for example, typing, filing, tracking of time records, word processing, dictation, and composition of correspondence. Commensurate experience and education.",,DELOITTE LLP,
65,Administrative Assistant Level II,55.15,56.91,58.51,60.27,,,,,"Administrative Assistant (Series AA) Level II (AA02) ? Provide administrative support specifically dedicated to the requirements of the project team. Perform a wide range of clerical and administrative duties including, for example, typing, filing, tracking of time records, word processing, dictation, and composition of correspondence. Commensurate experience and education.",,DELL INC,
66,Administrative Assistant Level II,68.54,70.49,72.5,74.57,,,,,"Administrative Assistant (Series AA) Level II (AA02) ? Provide administrative support specifically dedicated to the requirements of the project team. Perform a wide range of clerical and administrative duties including, for example, typing, filing, tracking of time records, word processing, dictation, and composition of correspondence. Commensurate experience and education.",,"WYLE LABORATORIES, INC.",
67,Administrative Assistant Level II,51.17,52.96,54.81,56.72,,,,,"Administrative Assistant (Series AA) Level II (AA02) - Provide administrative support specifically dedicated to the requirements of the project team. Perform a wide range of clerical and administrative duties including, for example, typing, filing, tracking of time records, word processing, dictation, and composition of correspondence. Commensurate experience and education.",,RAYTHEON COMPANY,
68,Administrative Assistant Level II,38.1,39.25,40.42,41.64,,,,,"Administrative Assistant (Series AA) Level II (AA02) - Provide administrative support specifically dedicated to the requirements of the project team. Perform a wide range of clerical and administrative duties including, for example, typing, filing, tracking of time records, word processing, dictation, and composition of correspondence. Commensurate experience and education.",,"SOTERA DEFENSE SOLUTIONS, INC.",
69,Administrative Assistant Level II,49.55,50.99,52.5,54.04,,,,,"Administrative Assistant (Series AA) Level II (AA02) ? Provide administrative support specifically dedicated to the requirements of the project team. Perform a wide range of clerical and administrative duties including, for example, typing, filing, tracking of time records, word processing, dictation, and composition of correspondence. Commensurate experience and education.",,"BAE SYSTEMS, INC",
70,Administrative Assistant Level II,49.66,51.25,52.89,54.58,,,,,"Administrative Assistant (Series AA) Level II (AA02) ? Provide administrative support specifically dedicated to the requirements of the project team. Perform a wide range of clerical and administrative duties including, for example, typing, filing, tracking of time records, word processing, dictation, and composition of correspondence. Commensurate experience and education.",,CIBER INC,
71,Administrative Assistant Level II,37.33,38.45,39.6,40.79,,,,,"Administrative Assistant (Series AA) Level II (AA02) ? Provide administrative support specifically dedicated to the requirements of the project team. Perform a wide range of clerical and administrative duties including, for example, typing, filing, tracking of time records, word processing, dictation, and composition of correspondence. Commensurate experience and education.",,"A-TEK, INC",
72,Administrative Assistant Level II,53.16,54.17,55.2,56.24,,,,,"Administrative Assistant (Series AA) Level II (AA02) ? Provide administrative support specifically dedicated to the requirements of the project team. Perform a wide range of clerical and administrative duties including, for example, typing, filing, tracking of time records, word processing, dictation, and composition of correspondence. Commensurate experience and education.",,DYNAMICS RESEARCH CORPORATION (DRC),
73,Administrative Assistant Level II,76.1,78.2,80.35,82.56,,,,,"Administrative Assistant (Series AA) Level II (AA02) - Provide administrative support specifically dedicated to the requirements of the project team. Perform a wide range of clerical and administrative duties including, for example, typing, filing, tracking of time records, word processing, dictation, and composition of correspondence. Commensurate experience and education.",,AQUILENT INC,
74,Administrative Assistant Level II,62.19,64.05,65.97,67.95,,,,,"Administrative Assistant (Series AA) Level II (AA02) - Provide administrative support specifically dedicated to the requirements of the project team. Perform a wide range of clerical and administrative duties including, for example, typing, filing, tracking of time records, word processing, dictation, and composition of correspondence. Commensurate experience and education.",,JACOBS ENGINEERING GROUP INC,
75,Administrative Assistant Level II,41.8,42.85,43.92,45.02,,,,,"Administrative Assistant (Series AA) Level II (AA02) - Provide administrative support specifically dedicated to the requirements of the project team. Perform a wide range of clerical and administrative duties including, for example, typing, filing, tracking of time records, word processing, dictation, and composition of correspondence. Commensurate experience and education.",,SMARTRONIX INC,
