Principal Network Engineer, 159.19, 162.59, 166.07, 169.63, 173.26, 176.97
Network Administrator, 100.43, 102.58, 104.78, 107.02, 109.31, 111.65
Sr. Network Administrator, 124.59, 127.26, 129.98, 132.76, 135.60, 138.51
Network/Computer Support Specialist, 82.05, 83.80, 85.60, 87.43, 89.30, 91.21
Computer System/Network Integration Engineer, 89.15, 91.05, 93.00, 94.99, 97.02, 99.10
Sr. Telecommunications Analyst, 83.05, 84.83, 86.64, 88.50, 90.39, 92.33
Communications Network Manager, 104.56, 106.80, 109.08, 111.42, 113.80, 116.24
Hardware Specialist, 88.90, 90.80, 92.75, 94.73, 96.76, 98.83
Quality Assurance/IV&V Analyst, 79.61, 81.31, 83.05, 84.83, 86.64, 88.50
Quality Assurance/IV&V Specialist, 82.40, 84.16, 85.96, 87.80, 89.68, 91.60
Quality Assurance/IV&V Manager, 133.59, 136.45, 139.37, 142.35, 145.39, 148.51
Configuration Management Specialist, 99.39, 101.52, 103.69, 105.91, 108.17, 110.49
Sr. Configuration Management Specialist, 120.25, 122.82, 125.45, 128.13, 130.88, 133.68
Training Specialist/Instructor, 74.91, 76.52, 78.15, 79.83, 81.54, 83.28
Sr. Training Specialist/Instructor, 99.23, 101.35, 103.52, 105.74, 108.00, 110.31
Training Specialist, 74.91, 76.52, 78.15, 79.83, 81.54, 83.28
Sr. Training Specialist, 99.12, 101.25, 103.41, 105.63, 107.89, 110.19
Principal Training Specialist, 119.57, 122.13, 124.75, 127.42, 130.14, 132.93
Testing and Validation Specialist, 68.29, 69.75, 71.25, 72.77, 74.33, 75.92
Principal Testing and Validation Specialist, 108.12, 110.44, 112.80, 115.21, 117.68, 120.20
Instructional System Designer, 85.85, 87.69, 89.57, 91.48, 93.44, 95.44
Sr. Instructional System Designer, 102.18, 104.37, 106.60, 108.88, 111.21, 113.59
Staff Graphics Design Specialist, 77.56, 79.22, 80.91, 82.64, 84.41, 86.22
Sr. Graphics Design Specialist, 89.44, 91.35, 93.31, 95.30, 97.34, 99.43
Principal Graphics Design Specialist, 108.12, 110.44, 112.80, 115.21, 117.68, 120.20
Contract Administrator, 77.94, 79.61, 81.32, 83.06, 84.83, 86.65
Sr. Contract Administrator, 104.56, 106.80, 109.08, 111.42, 113.80, 116.24
Program Management Specialist, 75.63, 77.25, 78.90, 80.59, 82.32, 84.08
Sr. Program Management Specialist, 99.69, 101.83, 104.01, 106.23, 108.51, 110.83 
Principal Program Management Specialist, 114.91, 117.37, 119.88, 122.45, 125.07, 127.75
Sr. Documentation Specialist, 93.57, 95.57, 97.61, 99.70, 101.84, 104.02
Technical Editor, 98.00, 100.10, 102.24, 104.43, 106.66, 108.94
Imagery Analyst, 108.96, 111.30, 113.68, 116.11, 118.59, 121.13
Imagery Sr. Analyst, 125.30, 127.98, 130.72, 133.52, 136.37, 139.29
Imagery Principal Analyst, 144.54, 147.63, 150.79, 154.02, 157.31, 160.68
Imagery Sr. Principal Analyst, 191.18, 195.27, 199.45, 203.72, 208.08, 212.53
Geospatial Analyst, 115.75, 118.23, 120.76, 123.34, 125.98, 128.68
Geospatial Sr. Analyst, 133.10, 135.95, 138.86, 141.83, 144.87, 147.97
Geospatial Principal Analyst, 149.13, 152.32, 155.58, 158.91, 162.31, 165.79
Geospatial Sr. Principal Analyst, 191.18, 195.27, 199.45, 203.72, 208.08, 212.53
Jr. Computer Programmer/Analyst, 64.26, 65.64, 67.04, 68.48, 69.94, 71.44
Jr. Computer Systems Analyst, 67.36, 68.80, 70.27, 71.77, 73.31, 74.88
System Administrator/Operator, 63.92, 65.29, 66.69, 68.11, 69.57, 71.06
Jr. Computer Operator, 46.13, 47.11, 48.12, 49.15, 50.20, 51.28
Computer Operator, 51.64, 52.75, 53.88, 55.03, 56.21, 57.41
Network/Computer Support Technician, 63.92, 65.29, 66.69, 68.11, 69.57, 71.06
Sr. Network/Computer Support Technician, 70.83, 72.35, 73.89, 75.47, 77.09, 78.74
Telecommunications Analyst, 76.92, 78.56, 80.25, 81.96, 83.72, 85.51
Jr. Help Desk Technician, 57.54, 58.77, 60.03, 61.31, 62.62, 63.96
Help Desk Technician, 63.92, 65.29, 66.69, 68.11, 69.57, 71.06
Sr. Help Desk Technician, 70.83, 72.35, 73.89, 75.47, 77.09, 78.74
Electronics/Electrical Technician, 64.53, 65.91, 67.32, 68.76, 70.23, 71.74
Logistics Specialist, 69.60, 71.09, 72.61, 74.17, 75.75, 77.37
Jr. Graphics Design Specialist, 49.94, 51.00, 52.10, 53.21, 54.35, 55.51
Graphics Design Specialist, 61.88, 63.20, 64.55, 65.93, 67.34, 68.79
Videographer/Editor, 57.71, 58.94, 60.20, 61.49, 62.81, 64.15
Jr. Program Management Specialist, 76.58, 78.21, 79.89, 81.60, 83.34, 85.13
Jr. Program Support Specialist, 39.60, 40.44, 41.31, 42.19, 43.10, 44.02
Program Support Specialist, 45.69, 46.67, 47.67, 48.69, 49.73, 50.79
Sr. Program Support Specialist, 76.58, 78.21, 79.89, 81.60, 83.34, 85.13
Jr. Admin/Data Analyst, 35.06, 35.81, 36.58, 37.36, 38.16, 38.98
Admin/Data Analyst, 38.25, 39.07, 39.90, 40.76, 41.63, 42.52
Documentation Specialist, 65.44, 66.84, 68.27, 69.73, 71.23, 72.75
Technical Writer, 79.17, 80.86, 82.59, 84.36, 86.16, 88.01
Technical Typist, 38.10, 38.91, 39.75, 40.60, 41.47, 42.35
Data Entry Clerk, 35.06, 35.81, 36.58, 37.36, 38.16, 38.98 
