,Role,08/23/2018 - 08/22/2019,08/23/2019 - 08/22/2020,08/23/2020 - 08/22/2021,08/23/2021 - 08/22/2022,08/23/2022 - 08/22/2023,Education,Functional Responsibility,Years of Experience,Company,socio_economic
23,Database Administrator 3,162.88,166.14,169.46,173.36,176.83,Bachelor's,"Conducts database administration for test, development and production databases, including installation and configuration, partition maintenance, backup and restore/recovery, and database performance monitoring and tuning. Works productively in a fast-paced and complex environment involving multiple interfaces. Manages the development plan, budget staff and data resources of database projects. Supports application developers in planning preparation, load analysis, and backup and recovery of data. When necessary, reallocates resources to maximize benefits. Prepares and delivers presentations on DBMS concepts. Provides daily supervision and direction to support staff. Monitors performance and evaluates areas to improve efficiency. Manages client assignments, technical and functional content. Budgets and staff resources.",6,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
24,Database Management Engineer 1,122.03,124.47,126.96,129.88,132.48,Bachelor's,"Provides technical expertise for the production of detailed database designs and design documentation, including data models, and data flow diagrams. Evaluates and configures DBMS products to match user requirements with system capabilities. Determines file organization, indexing methods, and security procedures for system databases. Plans, coordinates conversion and migration of existing (or legacy) databases to state of the art DBMS's. Significant knowledge of the field and the ability to work independently on typical assignments.",0,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
25,Database Management Engineer 2,158.99,162.17,165.42,169.22,172.61,Bachelor's,"Provides technical expertise for the production of detailed database designs and design documentation, including data models, and data flow diagrams. Evaluates and configures DBMS products to match user requirements with system capabilities. Determines file organization, indexing methods, and security procedures for system databases. Plans, coordinates conversion and migration of existing (or legacy) databases to state of the art DBMS's. Generally regarded as an expert in their particular discipline or technology.",1,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
26,Database Management Engineer 3,178.02,181.58,185.21,189.47,193.26,Bachelor's,"Provides technical expertise for the production of detailed database designs and design documentation, including data models, and data flow diagrams. Evaluates and configures DBMS products to match user requirements with system capabilities. Determines file organization, indexing methods, and security procedures for system databases. Plans, coordinates conversion and migration of existing (or legacy) databases to state of the art DBMS's. Experience with several architectures and platforms in an integrated environment.",4,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
27,E-Commerce Specialist 1,220.12,224.52,229.01,234.28,238.96,Bachelor's,"Provides expert functional advice and direction to client's users, management and project teams working on complex systems in the area of Electronic Commerce. Consults with management and clients to define and evaluate solutions and functional requirements for complex problems. Solves especially complex training, implementation, and/or operational problems. May act as Program Manager or deputy.",5,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
28,E-Commerce Specialist 2,245.52,250.43,255.44,261.31,266.54,Bachelor's,"Provides expert functional advice and direction to client's users, management and project teams working on complex systems in the area of Electronic Commerce. Consults with management and clients to define and evaluate solutions and functional requirements for complex problems. Solves especially complex training, implementation, and/or operational problems. Directs and supervises resources for performance of project assignments and activities. Manages project scheduling, design, implementation, testing and acceptance. Primary client interface. Responsible for quality of output.",5,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
29,Enterprise Architect,217.12,221.47,225.89,231.09,235.71,Bachelor's,"Applies architecture principles, standards, trends in technology and industry best practices. Knowledge of Federal guideline such as the Government Paperwork Elimination Act of 1999, Government Performance Act of 1993, Clinger-Cohen Act, and OMB Circular A-130. Ability to analyze problems logically and objectively, apply sound judgment in developing solutions, meet tight deadlines, and adjust to changing priorities. Effective written and oral communication skills and the ability to present technical findings in a clear and concise manner. Identifies and documents business area activities, data, applications, and technologies. Support the development of enterprise architecture standards, policies, and guidelines. Works with federal management, program offices, and personnel across the agency enterprise, and coordinate the integration of other agency initiatives and segments into the agency Enterprise Architecture.",4,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
30,Graphics Designer 1,90.47,92.28,94.12,96.29,98.21,Associate's,"Ability to develop graphics for both programmatic and technical tasks. General knowledge of the administrative field and the ability to work with minimal supervision. Assists in the preparation of presentation graphics, and supports the development of contract deliverables and reports by developing and updating graphic presentations to improve the quality and enhance the usability of these documents. Responsible for integrating the graphics generated with automated tools and the deliverable documents.",1,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
31,Information Engineer 1,118.51,120.88,123.29,126.13,128.65,Bachelor's,"Performs as an applications programmer on large-scale database management systems, knowledge of computer equipment, and ability to develop complex software to satisfy design objectives. Analyzes application software and design specifications for information process activities. Develops block diagrams and logic flow charts. Translates detailed design into application software. Tests, debugs, and refines the application software to produce the required product. Prepares required documentation, including both program-level and user-level documentation. Works under general supervision.",0,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
32,Information Engineer 2,152.38,155.43,158.54,162.18,165.43,Bachelor's,"Works with SQL and third/fourth generation languages in the design and implementation of systems and using database management systems. Possesses ability to assume increasing responsibilities in information engineering activities. Knowledgeable of applicable standards. Analyzes and studies complex information system requirements. Designs software tools and subsystems to support software reuse and domain analyses and manages their implementation. Manages software development and support using formal specifications, data flow diagrams, other accepted design techniques and computer Aided Software Engineering (CASE) tools. Provides input to estimate software development costs and schedule. Reviews existing programs and assists in making refinements, reducing operating time, and improving current techniques. Works independently under minimal supervision.",1,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
33,Information Engineer 3,177.78,181.34,184.96,189.22,193.0,Bachelor's,"Performs information systems development, functional and data requirements analysis, systems analysis and design, programming, program design, and documentation preparation. Implements information engineering projects, systems analysis, design and programming using CASE and IE tools and methods, systems planning, business information planning, and business analysis. Applies business process improvement practices to re-engineer methodologies/principles and business process modernization projects. Applies, as appropriate, activity and data modeling, transaction flow analysis, internal control and risk analysis and modern business methods and performance measurement techniques. Assists in establishing standards for information systems procedures. Develops and applies organization-wide information models for use in designing and building integrated, shared software and database management systems. Constructs logical business improvement opportunities consistent with corporate Information Management guiding principles, cost savings, and open system architecture objectives. Possesses the ability to work independently.",4,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
34,Information Engineer 4,203.2,207.26,211.4,216.27,220.59,Bachelor's,"Performs systems development, functional and data requirements analysis, systems analysis and design, programming, program design, and documentation preparation. Manages the implementation of information engineering projects and performs systems analysis, design and programming selecting CASE or IE tools and methods, e.g., Oracle CASE, COOL:Gen CASE, I-CASE. Works in the client/server environment. Utilizes managerial and supervisory skills. Prepares written and oral communications, including giving formal presentations to different audiences. Applies an enterprise-wide set of disciplines for the planning, analysis, design and construction of information systems on an enterprise-wide basis or across a major sector of the enterprise. Develops analytical and computational techniques and methodology for problem solutions. Performs enterprise- wide strategic systems planning, business information planning, business and analysis. Performs process and data modeling in support of the planning and analysis efforts using both manual and automated tools; such as Integrated computer-Aided Software Engineering (I-CASE) tools. Applies reverse engineering and re-engineering disciplines to develop migration strategic and planning documents. Utilizes various methodologies, e.g., IDEF 0 process modeling and IDEF 1X data modeling. Provides daily supervision and direction to staff.",7,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
35,Information Engineer 5,228.58,233.15,237.81,243.28,248.15,Bachelor's,"Performs information systems development, functional and data requirements analysis, systems analysis and design, programming, program design, and documentation preparation. Manages the implementation of information engineering projects and experience in systems analysis, design, and programming using CASE and IE tools and methods, e.g., Oracle CASE, IEF CASE, I-CASE. Works in the client/server environment. Utilizes managerial and supervisory skills. Prepares written and oral communications skills, including giving formal presentations to different audiences. Applies an enterprise-wide set of disciplines for the planning, analysis, design, and construction of information systems on an enterprise-wide basis or across a major sector of the enterprise. Develops analytical and computational techniques and methodology for problem solutions. Performs enterprise-wide strategic systems planning, business information planning, business and analysis. Performs process and data modeling in support of the planning and analysis efforts using both manual and automated tools; such as Integrated computer-Aided Software Engineering (I-CASE) tools. Applies reverse engineering and re-engineering disciplines to develop migration strategic and planning documents. Familiar with various methodologies, e.g., IDEF 0 process modeling and IDEF 1X data modeling. Provides daily supervision and technical guidance in software engineering techniques and automated support tools to supporting staff.",9,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
36,Information Security Specialist 1,167.5,170.85,174.26,178.27,181.84,Bachelor's,"Formulates and assesses I/T security policy to include business impact. Prepares security plans for employing enterprise-wide security architecture to include the design of cryptographic solutions. Develops integrated security services management. Executes security awareness training. Assesses and audits network penetration testing anti virus planning assistance, risk analysis and incident response. Provides security-engineering support for application development (including system security certifications and project evaluations). This may include the development, design and implementation of firewalls, and evaluation, review and test of security code. Experience with several architectures and platforms in an integrated environment. Significant knowledge of the field and the ability to work independently on typical assignments.",1,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
37,Information Security Specialist 2,176.94,180.48,184.09,188.32,192.09,Bachelor's,"Formulates and assesses I/T security policy to include business impact. Prepares security plans for employing enterprise-wide security architecture to include the design of cryptographic solutions. Develops integrated security services management. Executes security awareness training. Assesses and audits network penetration testing anti virus planning assistance, risk analysis and incident response. Provides security-engineering support for application development (including system security certifications and project evaluations). This may include the development, design and implementation of firewalls, and evaluation, review and test of security code. Experience with several architectures and platforms in an integrated environment.",4,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
38,Principal Systems Developer,172.32,175.76,179.28,183.4,187.07,Bachelor's,"Principal Systems Developer duties include leading and directing work of consultants on large application development programs (including multiple large projects); scoping and planning of application development projects; providing consulting and/or periodic project reviews, conducting training classes on all phases of software engineering methodologies, and the implementation of software engineering. A Principal Systems Developer is an industry recognized expert in at least one area of the software engineering methodology and associated Technical Disciplines. A Principal Systems Developer applies software, hardware, and standard information technology skills in the analysis, specification, development, integration, and acquisition of systems. A Principal Systems Developer ensures these systems and applications are compliant with standards for open architectures, reference models, and profiles of standards. A Principal Systems Developer performs analysis and validation of software and hardware components to ensure the integration of these components into interoperable information management designs.",3,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
39,Program Manager 1,157.2,160.34,163.55,167.31,170.66,Bachelor's,"This position is responsible for managing at the program level, encompassing the accumulated status of individual project/task order within the program. Program Manager plans, coordinates and manages all aspects of complex information technology programs. Prepares and presents status on program schedules, program costs, program deliverables, program risks, and risk containment strategies. Experienced in advising senior executives on effective utilization of information technology systems and reengineering to meet business objectives. Program Manager responsibilities include, but are not limited to, effective management of funds and personnel, and is accountable for the quality and timely delivery of all contractual items; operating within client guidance, contractual limitations, and Company business and policy directives; serving as focal point-of-contact with client regarding program activities; ensuring that all required resources including manpower, production standards, computer time, and facilities are available for program implementation; managing program consisting of multiple projects including project identification, design, development, and delivery; maintaining the development and execution of business opportunities based on broad, general guidance; conferring with project manager to provide technical advice and to assist with problem resolution; and marketing new technology and follow-on business acquisitions.",8,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
40,Program Manager 2,203.76,207.83,211.99,216.86,221.2,Bachelor's,"This position is responsible for managing at the program level, encompassing the accumulated status of individual project/task order within the program. Program Manager plans, coordinates and manages all aspects of complex information technology programs. Prepares and presents status on program schedules, program costs, program deliverables, program risks, and risk containment strategies. Experience of progressive accomplishment managing and implementing large, complex information technology systems. Experienced in advising senior executives on effective utilization of information technology systems and reengineering to meet business objectives. Program Manager responsibilities include, but are not limited to, effective management of funds and personnel, and is accountable for the quality and timely delivery of all contractual items; operating within client guidance, contractual limitations, and Company business and policy directives; serving as focal point-of-contact with client regarding program activities; ensuring that all required resources including manpower, production standards, computer time, and facilities are available for program implementation; managing program consisting of multiple projects including project identification, design, development, and delivery; maintaining the development and execution of business opportunities based on broad, general guidance; conferring with project manager to provide technical advice and to assist with problem resolution; and marketing new technology and follow-on business acquisitions.",8,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
41,Program Manager 3,217.65,222.01,226.45,231.65,236.29,Bachelor's,"A Program Manager is the most senior position within the Citizant Consultant Ladder. This individual has broad management authority over very large projects and initiatives, which potentially span multiple accounts or customers. Typically, the Program Manager defines and directs projects at the highest level and is responsible for the long-term success of programmatic initiatives as defined by the senior management team of Citizant. A Program Manager has authority to manage program budgets, direct recruiting efforts and perform career planning and employee actions. A Program Manager is an expert in project management tools and methods.",10,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
42,Project Manager 1,104.99,107.09,109.23,111.74,113.98,Bachelor's,"This position is responsible for managing at the project/task level. Project Manager plans, coordinates and manages all aspects of complex information technology projects. Prepares and presents status on project schedules, project costs, project deliverables, project risks, and risk containment strategies. Experienced in advising senior executives on effective utilization of information technology systems and reengineering to meet business objectives.",4,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
43,Project Manager 2,138.24,141.0,143.82,147.13,150.07,Bachelor's,"This position is responsible for managing at the project/task level. Project Manager plans, coordinates and manages all aspects of complex information technology projects. Prepares and presents status on project schedules, project costs, project deliverables, project risks, and risk containment strategies. Experienced in advising senior executives on effective utilization of information technology systems and reengineering to meet business objectives. Project Manager has extensive experience with large systems modernization and business practice reengineering.",6,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
44,Project Manager 3,185.84,189.56,193.35,197.8,201.75,Bachelor's,"This position is responsible for managing at the project/task level. Project Manager plans, coordinates and manages all aspects of complex information technology projects. Prepares and presents status on project schedules, project costs, project deliverables, project risks, and risk containment strategies. Experienced in advising senior executives on effective utilization of information technology systems and reengineering to meet business objectives. Project Manager has extensive experience with large systems modernization and business practice reengineering.",6,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
45,Project Manager 4,188.24,192.01,195.85,200.35,204.36,Bachelor's,"This position is responsible for managing at the project/task level. Project Manager plans, coordinates and manages all aspects of complex information technology projects. Prepares and presents status on project schedules, project costs, project deliverables, project risks, and risk containment strategies. Experienced in advising senior executives on effective utilization of information technology systems and reengineering to meet business objectives. Project Manager has extensive experience with large systems modernization and business practice reengineering.",8,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
46,Project Manager 5,190.45,194.25,198.14,202.7,206.75,Bachelor's,"A Project Manager possesses significant business, systems analysis and development experience, and brings this to bear by providing management and executive level services beyond software engineering methodologies and specific development technologies. A Project Manager has experience in planning and managing full life cycle development using a software engineering methodology, preparing and presenting executive briefings, and creating innovative yet practical solutions. Project Manager duties include directing work of consultants on large application development programs, which could include multiple large projects; scoping and planning of Application development projects; providing consulting and/or periodic project reviews; conducting training classes on all phases of software engineering methodologies and the implementation of software engineering methodologies. A Project Manager is an industry recognized expert in at least one area of a software engineering methodology and associated Technical Discipline.",10,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
47,QA/CM/Test & Evaluation Specialist 1,105.06,107.16,109.3,111.81,114.05,Bachelor's,"Provides technical and administrative support for personnel performing software development tasks, including the review of work products for correctness, adherence to design concepts and to user standards, review of program documentation to assure government standards/requirements are adhered to, configuration management for all hardware and software, and for progress in accordance with schedules. Coordinates with the Program Manager and/or Quality Assurance/Configuration Manager to ensure problem resolution and user satisfaction. Makes recommendations, if needed, for approval of systems installations. Prepares milestone status reports and deliveries/presentations on the system concept to colleagues, end user representatives. Performs software testing at all levels from module or unit testing through all levels of software integration testing. Writes software test plans in support of software design to ensure the integrity of test plans. Interfaces with the software development group throughout the software development process. Develops test data and predefines specific test acceptance criteria. Supports the software configuration management process and understands all software components and their interface requirements. Experience with several architectures and platforms in an integrated environment. Significant knowledge of the field and the ability to work independently on typical assignments.",1,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
48,QA/CM/Test & Evaluation Specialist 2,129.53,132.12,134.76,137.86,140.62,Bachelor's,"Develops, implements, and maintains quality assurance/configuration management programs in support of a variety of software, hardware, and services. Establishes standards for life cycle, documentation, development methods, testing, and maintenance. Develops and defines major and minor characteristics of quality/configuration management (including metrics and scoring parameters) and determines requisite quality control/configuration management resources for an actual task order. Conducts or participates in formal and informal reviews at predetermined points throughout the system life cycle. Serves as liaison between Program Management and other functional groups to resolve issues regarding quality assurance/configuration management. Reviews and evaluates software products and services for adherence to government directives, standards, and guidelines. May provide task direction and guidance to less experienced team members. Performs software testing at all levels from module or unit testing through all levels of software integration testing. Writes software test plans in support of software design to ensure the integrity of test plans. Interfaces with the software development group throughout the software development process. Develops test data and predefines specific test acceptance criteria. Supports the software configuration management process and understands all software components and their interface requirements. Generally regarded as an expert in their particular discipline or technology.",4,Citizant,"Small business, Woman Owned business, Women Owned (WOSB)"
