,role,2018_2019,2019_2020,2020_2021,2021_2022,2022_2023,2023_2024,2024_2025,education,responsibility,yoe_x,company,socio_economic,2018_2019_mean,2019_2020_mean,2020_2021_mean,2021_2022_mean,2022_2023_mean,2023_2024_mean,2024_2025_mean,yoe_y,2018_2019_max,2019_2020_max,2020_2021_max,2021_2022_max,2022_2023_max,2023_2024_max,2024_2025_max,yoe_x,2018_2019_min,2019_2020_min,2020_2021_min,2021_2022_min,2022_2023_min,2023_2024_min,2024_2025_min,yoe_y,1819_1920_change,1920_2021_change,2021_2122_change,2122_2223_change,2223_2324_change,2324_2425_change
13,Database Administrator 2,141.31,145.41,149.63,153.97,,,,Bachelor's,"Database Administrator 2 administers organization's databases, using database management system to organize and store data. The Database Administrator 2 ascertains user requirements, creates computer databases, and tests and coordinates changes. This individual interacts with development and end-user personnel to determine application data access requirements, transaction rates, volume analysis, and other pertinent data required to develop and maintain integrated databases. Level 2 performs more varied and difficult tasks compared to Level 1, yet has less autonomy than Level 3.",3,Accenture Federal Services,Other than small business,136.51,139.875,143.32999999999998,147.075,142.99,,,3.5,141.31,145.41,149.63,153.97,142.99,,,4,131.71,134.34,137.03,140.18,142.99,,,3,0.029014224046422718,0.029021387800013745,0.02900487870079532,,,
14,Database Administrator 3,167.58,172.44,177.44,182.59,,,,Bachelor's,"Database Administrator 3 administers organization's databases, using database management system to organize and store data. The Database Administrator 3 ascertains user requirements, creates computer databases, and tests and coordinates changes. This individual interacts with development and end-user personnel to determine application data access requirements, transaction rates, volume analysis, and other pertinent data required to develop and maintain integrated databases. Level 3 is competent in subject matter and concepts and may lead individuals assisting in the work.",7,Accenture Federal Services,Other than small business,165.23000000000002,169.29,173.45,177.97500000000002,176.83,,,6.5,167.58,172.44,177.44,182.59,176.83,,,7,162.88,166.14,169.46,173.36,176.83,,,6,0.02900107411385598,0.028995592669914173,0.02902389540126243,,,
15,Functional Specialist 1,121.7,125.23,128.86,132.6,,,,Bachelor's,"The Functional Specialist 1s provide knowledge in industry, process or technology areas. The Functional Specialist 1 responsibilities may include, Plan and manage the work of information systems project teams, Design and implement new organization structures, conceptual design and development of training curricula, Assist an organization to translate its vision and strategy into core human resource and business process, Lead clients through streamlining, reengineering and transforming business processes, Develop and execute project budgets Level 1 performs more routine aspects of the position and is supervised by higher levels.",3,Accenture Federal Services,Other than small business,121.7,125.23,128.86,132.6,,,,3.0,121.7,125.23,128.86,132.6,,,,3,121.7,125.23,128.86,132.6,,,,3,0.029005751848808554,0.028986664537251534,0.029023746701846813,,,
16,Functional Specialist 2,164.32,169.09,173.99,179.04,,,,Bachelor's,"The Functional Specialist 2s provide knowledge in industry, process or technology areas. The Functional Specialist 1 responsibilities may include, Plan and manage the work of information systems project teams, Design and implement new organization structures, conceptual design and development of training curricula, Assist an organization to translate its vision and strategy into core human resource and business process, Lead clients through streamlining, reengineering and transforming business processes, Develop and execute project budgets. Level 2 performs more varied and difficult tasks compared to Level 1, yet has less autonomy than Level 3.",5,Accenture Federal Services,Other than small business,164.32,169.09,173.99,179.04,,,,5.0,164.32,169.09,173.99,179.04,,,,5,164.32,169.09,173.99,179.04,,,,5,0.029028724440116907,0.02897865042285177,0.029024656589459064,,,
17,Functional Specialist 3,199.42,205.2,211.15,217.27,,,,Bachelor's,"The Functional Specialist 3s provide knowledge in industry, process or technology areas. The Functional Specialist 1 responsibilities may include, Plan and manage the work of information systems project teams;, Design and implement new organization structures, conceptual design and development of training curricula, Assist an organization to translate its vision and strategy into core human resource and business process, Lead clients through streamlining, reengineering and transforming business processes, Develop and execute project budgets. Level 3 is competent in subject matter and concepts and may lead individuals assisting in the work.",8,Accenture Federal Services,Other than small business,199.42,205.2,211.15,217.27,,,,8.0,199.42,205.2,211.15,217.27,,,,8,199.42,205.2,211.15,217.27,,,,8,0.028984053755892095,0.028996101364522502,0.02898413450153921,,,
18,Consultant 1,115.69,119.05,122.5,126.05,,,,Bachelor's,"Consultant 1s apply their skills in such areas as systems development, knowledge of business processes, technical background or supervisory capacity to implement business solutions. For example, Consultants may perform tasks such as, Develop functional and technical information system designs, Supervise business integration analysts in the development of software designs, computer programming, system testing or training curricula, Lead business process redesign teams in the development of new business process architectures, Design training programs for information systems users, Participate in quality reviews to ensure work complies with specified standards, Develop teamwork plans, Perform workflow analyses, Design and manage databases, Define information systems requirements, Assist in project budget preparation. Level 1 performs more routine aspects of the position and is supervised by higher levels.",3,Accenture Federal Services,Other than small business,115.69,119.05,122.5,126.05,,,,3.0,115.69,119.05,122.5,126.05,,,,3,115.69,119.05,122.5,126.05,,,,3,0.02904313250929207,0.028979420411591794,0.02897959183673467,,,
19,Consultant 2,154.98,159.47,164.09,168.85,,,,Bachelor's,"Consultant 2s apply their skills in such areas as systems development, knowledge of business processes, technical background or supervisory capacity to implement business solutions. For example, Consultants may perform tasks such as, Develop functional and technical information system designs, Supervise business integration analysts in the development of software designs, computer programming, system testing or training curricula, Lead business process redesign teams in the development of new business process architectures, Design training programs for information systems users, Participate in quality reviews to ensure work complies with specified standards, Develop teamwork plans, Perform workflow analyses, Design and manage databases, Define information systems requirements, Assist in project budget preparation. Level 2 performs more varied and difficult tasks compared to Level 1, yet has less autonomy than Level 3.",5,Accenture Federal Services,Other than small business,154.98,159.47,164.09,168.85,,,,5.0,154.98,159.47,164.09,168.85,,,,5,154.98,159.47,164.09,168.85,,,,5,0.02897148019099245,0.028970966325954754,0.0290084709610579,,,
20,Consultant 3,188.92,194.4,200.04,205.84,,,,Bachelor's,"Consultant 3s apply their skills in such areas as systems development, knowledge of business processes, technical background or supervisory capacity to implement business solutions. For example, Consultants may perform tasks such as, Develop functional and technical information system designs, Supervise business integration analysts in the development of software designs, computer programming, system testing or training curricula, Lead business process redesign teams in the development of new business process architectures, Design training programs for information systems users, Participate in quality reviews to ensure work complies with specified standards, Develop teamwork plans, Perform workflow analyses, Design and manage databases, Define information systems requirements, Assist in project budget preparation. Level 3 is competent in subject matter and concepts and may lead individuals assisting in the work.",8,Accenture Federal Services,Other than small business,188.92,194.4,200.04,205.84,,,,8.0,188.92,194.4,200.04,205.84,,,,8,188.92,194.4,200.04,205.84,,,,8,0.029006987084480303,0.029012345679012275,0.028994201159768106,,,
21,Engineer 1,109.85,113.04,116.32,119.69,,,,Bachelor's,"The Engineer 1 provides knowledge in design, architecture, development and administration. The Engineer may, Monitor existing systems for structural integrity., Oversee the development and installation of new hardware and software., Install and configure operating systems and other software and routinely test installed software for glitch detection and other issues., Provide technical direction to IT support staff, Design and implement security systems and redundant backups to maintain data safety, Write custom scripts to reduce the need for human intervention, Create saleable, automated solutions for our customer base, Establish multi-platform versions of the software package, Write tests for existing and created code to ensure compatibility and stability, Evaluate, recommend, and implement automated test tools and strategies, Design, implement, and conduct test and evaluation procedures to ensure system requirements are met, Evaluate hardware and software and resolve LAN/MAN/WAN network related problems. Level 1 performs more routine aspects of the position and is supervised by higher levels.",0,Accenture Federal Services,Other than small business,109.85,113.04,116.32,119.69,,,,0.0,109.85,113.04,116.32,119.69,,,,0,109.85,113.04,116.32,119.69,,,,0,0.029039599453800746,0.029016277423920617,0.02897180192572219,,,
22,Engineer 2,141.31,145.41,149.63,153.97,,,,Bachelor's,"The Engineer 2 provides knowledge in design, architecture, development and administration. The Engineer may, Monitor existing systems for structural integrity., Oversee the development and installation of new hardware and software., Install and configure operating systems and other software and routinely test installed software for glitch detection and other issues., Provide technical direction to IT support staff, Design and implement security systems and redundant backups to maintain data safety, Write custom scripts to reduce the need for human intervention, Create scaleable, automated solutions for our customer base, Establish multi-platform versions of the software package, Write tests for existing and created code to ensure compatibility and stability, Evaluate, recommend, and implement automated test tools and strategies, Design, implement, and conduct test and evaluation procedures to ensure system requirements are met, Evaluate hardware and software and resolve LAN/MAN/WAN network related problems. Level 2 performs more varied and difficult tasks compared to Level 1, yet has less autonomy than Level 3.",2,Accenture Federal Services,Other than small business,141.31,145.41,149.63,153.97,,,,2.0,141.31,145.41,149.63,153.97,,,,2,141.31,145.41,149.63,153.97,,,,2,0.029014224046422718,0.029021387800013745,0.02900487870079532,,,
23,Engineer 3,164.32,169.09,173.99,179.04,,,,Bachelor's,"The Engineer 3 provides knowledge in design, architecture, development and administration. The Engineer may, Monitor existing systems for structural integrity, Oversee the development and installation of new hardware and software, Install and configure operating systems and other software and routinely test installed software for glitch detection and other issues., Provide technical direction to IT support staff, Design and implement security systems and redundant backups to maintain data safety, Write custom scripts to reduce the need for human intervention, Create scaleable, automated solutions for our customer base, Establish multi-platform versions of the software package, Write tests for existing and created code to ensure compatibility and stability, Evaluate, recommend, and implement automated test tools and strategies, Design, implement, and conduct test and evaluation procedures to ensure system requirements are met, Evaluate hardware and software and resolve LAN/MAN/WAN network related problems. Level 3 is competent in subject matter and concepts and may lead individuals assisting in the work.",3,Accenture Federal Services,Other than small business,164.32,169.09,173.99,179.04,,,,3.0,164.32,169.09,173.99,179.04,,,,3,164.32,169.09,173.99,179.04,,,,3,0.029028724440116907,0.02897865042285177,0.029024656589459064,,,
24,Technical Writer,111.99,115.24,118.58,122.02,,,,Bachelor's,"The Technical Writer writes and updates material such as reports, manuals, briefs, proposals, instruction books, catalogs, and related technical and administrative publications concerned with work methods and procedures, and installation, operation, and maintenance.",2,Accenture Federal Services,Other than small business,75.98500000000001,77.55833333333334,79.17,78.762,81.365,88.01,,2.5,111.99,115.24,118.58,122.02,86.16,88.01,,5,51.47,52.76,54.08,55.43,76.57,88.01,,0,0.029020448254308422,0.02898299201666091,0.029009951087873145,,,
25,Help Desk Manager,120.55,124.05,127.65,131.35,,,,Associate's,"The Help Desk Manager supervises and coordinates activities of Help Desk Specialists, Coordinators or Technicians. This individual identifies, troubleshoots, or resolves information systems problems to minimize down time of applications and personnel. The Help Desk Manager may, Assist computer users with hardware and software questions and problems,, Field telephone calls and e-mail messages from customers seeking guidance on technical problems, Diagnose nature of problems, and assisting customers through problem solving steps.",2,Accenture Federal Services,Other than small business,120.55,97.63499999999999,99.435,101.285,71.22,71.22,,4.5,120.55,124.05,127.65,131.35,71.22,71.22,,7,120.55,71.22,71.22,71.22,71.22,71.22,,2,0.02903359601824969,0.02902055622732776,0.028985507246376722,,,
26,Help Desk Specialist,77.36,79.6,81.91,84.29,,,,Associate's,"The Help Desk Specialist analyzes problems and provides technical assistance, support, and advice to end users for hardware, software, and systems through phone, email, or chat. This individual resolves computer software and hardware problems of users, and acts as a contact for users having problems using computer software, hardware, and operating systems. The Help Desk Specialist answers questions, applying knowledge of computer software, hardware, systems, and procedures.",1,Accenture Federal Services,Other than small business,77.36,54.92666666666667,55.696666666666665,56.49000000000001,42.59,42.59,,2.3333333333333335,77.36,79.6,81.91,84.29,42.59,42.59,,3,77.36,42.59,42.59,42.59,42.59,42.59,,1,0.02895553257497408,0.029020100502512594,0.029056281284336585,,,
27,Programmer 1,86.36,88.86,91.44,94.09,,,,Bachelor's,"The Programmer 1 is responsible for activities such as program design, coding, testing, debugging or documentation. This individual has technical knowledge and responsibility of all phases of applications systems analysis and programming, and understands the business or function for which application is designed. The Programmer may, Write programs according to specifications, which may be provided by Engineers, technical architects, or other computer scientists, Update, repair, modify and expand existing computer programs. Level 1 performs more routine aspects of the position and is supervised by higher levels.",0,Accenture Federal Services,Other than small business,86.36,88.86,91.44,94.09,,,,0.0,86.36,88.86,91.44,94.09,,,,0,86.36,88.86,91.44,94.09,,,,0,0.028948587308939323,0.029034436191762304,0.028980752405949318,,,
28,Programmer 2,135.93,139.87,143.93,148.1,,,,Bachelor's,"The Programmer 2 is responsible for activities such as program design, coding, testing, debugging or documentation. This individual has technical knowledge and responsibility of all phases of applications systems analysis and programming. Understands the business or function for which application is designed. The Programmer may, Write programs according to specifications, which may be provided by Engineers, technical architects, or other computer scientists, Update, repair, modify and expand existing computer programs. Level 2 performs more varied and difficult tasks compared to Level 1, yet has less autonomy than Level 3.",2,Accenture Federal Services,Other than small business,135.93,139.87,143.93,148.1,,,,2.0,135.93,139.87,143.93,148.1,,,,2,135.93,139.87,143.93,148.1,,,,2,0.028985507246376795,0.02902695359977123,0.028972417147224257,,,
29,Programmer 3,184.02,189.36,194.85,200.5,,,,Bachelor's,"The Programmer 3 is responsible for activities such as program design, coding, testing, debugging or documentation. This individual has technical knowledge and responsibility of all phases of applications systems analysis and programming. Understands the business or function for which application is designed. The Programmer may, Write programs according to specifications, which may be provided by Engineers, technical architects, or other computer scientists, Update, repair, modify and expand existing computer programs. Level 3 is competent in subject matter and concepts and may lead individuals assisting in the work.",5,Accenture Federal Services,Other than small business,184.02,189.36,194.85,200.5,,,,5.0,184.02,189.36,194.85,200.5,,,,5,184.02,189.36,194.85,200.5,,,,5,0.029018584936419973,0.028992395437262255,0.02899666410059023,,,
30,Operations Manager,148.66,152.97,157.41,161.97,,,,Bachelor's,"The Operation Manager manages, coordinates, or organizes department operation strategies and activities. The Operation Manager may, Collaborate in the development and implementation of organization policies, practices, procedures, and attainment of operating goals, Review, analyze, and prepare reports, records, and directives, and confers with managers/supervisors to obtain data required for planning activities, such as new commitments, status of work in progress, and problems encountered, Disseminate policies and objectives to supervisors/staff.",3,Accenture Federal Services,Other than small business,148.66,152.97,157.41,161.97,,,,3.0,148.66,152.97,157.41,161.97,,,,3,148.66,152.97,157.41,161.97,,,,3,0.028992331494685875,0.029025299078250622,0.028968934629312004,,,
31,Agile Coach,190.81,196.34,202.03,207.89,,,,Bachelor's,"The Agile Coach may assist or lead teams to apply Agile thinking to the specific environment and impediments they face. The Coach works as an advisor and helps the team adapt the methodology to their environment, and challenge the existing environment.",8,Accenture Federal Services,Other than small business,190.81,196.34,202.03,207.89,,,,8.0,190.81,196.34,202.03,207.89,,,,8,190.81,196.34,202.03,207.89,,,,8,0.02898170955400661,0.02898034022613832,0.029005593228728335,,,
32,Scrum Master,220.74,227.14,233.73,240.51,,,,Bachelor's,"The Scrum Master may facilitate or guide a software development product owner, team, and organization on how to use Agile/Scrum concepts, values, practices, and principles focusing on improving team effectiveness. The Scrum Master leads discussions and decision making, and assists in mediation of conflict resolution.",6,Accenture Federal Services,Other than small business,220.74,227.14,233.73,240.51,,,,6.0,220.74,227.14,233.73,240.51,,,,6,220.74,227.14,233.73,240.51,,,,6,0.028993385883845143,0.029012943559038495,0.02900782954691311,,,
33,Financial Analyst,164.32,169.09,173.99,179.04,,,,Bachelor's,"The Financial Analyst analyzes past and present financial data of organization and estimates future revenues and expenditures, applying principles of finance. The Financial Analyst may, Run and document financial analysis projects, Aid organization with financial functions, such as assessing, auditing, planning, budgeting, taxes, consolidation, cost control, and project control, Evaluate and analyze capital expenditures, depreciation, proposals, investment opportunities, rate of return, profit plans, operating records, financial statements, etc.",3,Accenture Federal Services,Other than small business,164.32,169.09,173.99,179.04,,,,3.0,164.32,169.09,173.99,179.04,,,,3,164.32,169.09,173.99,179.04,,,,3,0.029028724440116907,0.02897865042285177,0.029024656589459064,,,
34,Data Architect,190.81,196.34,202.03,207.89,,,,Bachelor's,"The Data Architect may define, design, or develop relational and/or multi-dimensional databases for warehousing of data. The Data Architect reviews current data structures and recommends optimizations and reconfigurations as warranted.",7,Accenture Federal Services,Other than small business,194.95,199.70499999999998,204.57999999999998,209.89499999999998,216.13,,,7.5,199.09,203.07,207.13,211.9,216.13,,,8,190.81,196.34,202.03,207.89,216.13,,,7,0.02898170955400661,0.02898034022613832,0.029005593228728335,,,
35,Program Analyst,111.99,115.24,118.58,122.02,,,,Bachelor's,"The Program Analyst analyzes and critiques computer programs and systems, or develops new programs. The Program Analyst may, Review user’s requests for new or modified computer programs to determine feasibility, cost and time required, compatibility with current system, and computer capabilities, Outline steps required to develop programs, using structured analysis and design, Plan, develop, test, and document computer programs, applying knowledge of programming techniques and computer systems.",2,Accenture Federal Services,Other than small business,111.99,115.24,118.58,122.02,,,,2.0,111.99,115.24,118.58,122.02,,,,2,111.99,115.24,118.58,122.02,,,,2,0.029020448254308422,0.02898299201666091,0.029009951087873145,,,
36,Application Architect 1,131.5,135.31,139.23,143.27,,,,Bachelor's,"The Application Architect 1 may plan, design, develop, redesign or enhance, install, or implement various technology products, or enhance computer programs. This individual applies knowledge of software and programming to develop and test computer systems and produce the necessary outcome for clients. The Application Architect may draft technical white papers to better understand the technology behind them, and to provide instructions that help the client better understand the nature and applications of a specific product. Level 1 performs more routine aspects of the position and is supervised by higher levels.",3,Accenture Federal Services,Other than small business,131.5,135.31,139.23,143.27,,,,3.0,131.5,135.31,139.23,143.27,,,,3,131.5,135.31,139.23,143.27,,,,3,0.02897338403041827,0.0289705121572684,0.02901673489908799,,,
37,Application Architect 2,165.39,170.19,175.13,180.21,,,,Bachelor's,"The Application Architect 2 may plan, design, develop, redesign or enhance, install, or implement various technology products, or enhance computer programs. This individual applies knowledge of software and programming to develop and test computer systems and produce the necessary outcome for clients. The Application Architect may draft technical white papers to better understand the technology behind them, and to provide instructions that help the client better understand the nature and applications of a specific product. Level 2 performs more varied and difficult tasks compared to Level 1, yet has less autonomy than Level 3.",5,Accenture Federal Services,Other than small business,165.39,170.19,175.13,180.21,,,,5.0,165.39,170.19,175.13,180.21,,,,5,165.39,170.19,175.13,180.21,,,,5,0.029022310901505602,0.029026382278629755,0.029007023354079897,,,
38,Application Architect 3,190.81,196.34,202.03,207.89,,,,Bachelor's,"The Application Architect 3 may plan, design, develop, redesign or enhance, install, or implement various technology products, or enhance computer programs. This individual applies knowledge of software and programming to develop and test computer systems and produce the necessary outcome for clients. The Application Architect may draft technical white papers to better understand the technology behind them, and to provide instructions that help the client better understand the nature and applications of a specific product. Level 3 is competent in subject matter and concepts and may lead individuals assisting in the work.",7,Accenture Federal Services,Other than small business,190.81,196.34,202.03,207.89,,,,7.0,190.81,196.34,202.03,207.89,,,,7,190.81,196.34,202.03,207.89,,,,7,0.02898170955400661,0.02898034022613832,0.029005593228728335,,,
39,Customer Service and Support Technician 1,61.93,63.73,65.58,67.48,,,,Associate's,"The Customer Service and Support Technician 1 may perform some of the following tasks, Answers inquiries by clarifying desired information; researching, locating, and providing information, Resolves problems by clarifying issues; researching and exploring answers and alternative solutions; implementing solutions; escalating unresolved problems, Fulfills requests by clarifying desired information; completing transactions; forwarding requests, Maintains call center database by entering information and document customer interaction, Updates job knowledge by participating in educational opportunities and knowledge management, Answers inquiries by clarifying desired information; researching, locating, and providing information., Resolves problems by clarifying issues; researching and exploring answers and alternative solutions; implementing solutions; escalating unresolved problems., Fulfills requests by clarifying desired information; completing transactions; forwarding requests., Maintains call center database by entering information and document customer interaction., Updates job knowledge by participating in educational opportunities and knowledge management., Develops appropriate reporting requirements by supervisor or manager, Handles Subject Matter Expert inquiries and assist other team members, Assists in the training of new-hires and assist in quality assurance activities. Level 1 performs more routine aspects of the position and is supervised by higher levels.",0,Accenture Federal Services,Other than small business,61.93,63.73,65.58,67.48,,,,0.0,61.93,63.73,65.58,67.48,,,,0,61.93,63.73,65.58,67.48,,,,0,0.02906507347004678,0.029028714890946203,0.028972247636474623,,,
