,Role,11/21/18 - 11/20/19,11/21/19 - 11/20/20,11/21/20 - 11/20/21,11/21/21 - 11/20/22,11/21/22 - 11/20/23,11/21/23 - 11/20/24,Education,Functional Responsibility,Years of Experience,Company
13,Scientist,89.51,91.42,93.38,95.38,97.42,99.5, Bachelor's,"Initiates and executes scientific research and/or development studies; analyzes problems and develops experimental or theoretical techniques for formalized engineering or scientific studies; resolves a variety of technical problems leading to advanced engineering studies designed to increase efficiency or reduce costs; plans and executes laboratory research; analyzes and organizes technical data and reports into summaries for management or customer review; demonstrates creative ability through patent disclosures or published papers; prepares technical manuals, reports and procedures reflecting advanced knowledge in assigned area of expertise; defines and describes laboratory tests to be performed; participates in test programs and prepares reports of test results; participates in special projects as required.",2,General Dynamics Information Technology
14,Staff Scientist,114.7,117.15,119.66,122.22,124.83,127.5, Bachelor's,"Initiates and executes scientific research and/or development studies; analyzes problems and develops experimental or theoretical techniques for formalized engineering or scientific studies; carries out development and testing of programs on systems, components and materials concurrent with design, fabrication or testing to better evaluate and minimize future problems; plans and executes laboratory research; develops alternative solutions to existing problems; uses specialized techniques and ingenuity to select and evaluate approaches to unforeseen or unique problems; performs or delegates all detail work necessary to determine optimum solutions; evaluates proposals and makes recommendations based on sound scientific principles and practical considerations; may provide work leadership for lower level employees; prepares cost and schedule estimates and technical documents on proposed projects in assigned area; demonstrates creative ability through patent disclosures, problem solving, scientific reports or technical papers and articles; participates in special projects as required.",5,General Dynamics Information Technology
15,Sr. Scientist,137.49,140.44,143.44,146.51,149.65,152.85, Master's,"Initiates, directs, and executes scientific research and/or development studies; may serve as a technical team or task lead; plans and performs scientific duties on new and varied problems where only general objectives are stated; coordinates broad phases of a project and performs advanced development work to obtain or maintain technical leadership in assigned field; plans and executes laboratory research; plans scientific effort in coordination with related efforts of other projects, departments, etc.; establishes and defines the theoretical bases and principles which should apply and the empirical test procedures to be used; conducts investigations or tests pertaining to the development of new designs, methods, materials, or processes and investigates possible applications of results; interprets and evaluates test data and results of investigations and develops recommendations; recommends necessary corrections in technical analyses and design to ensure successful project completion; may provide technical consultation in area of specialty; may serve as a technical team or task lead; demonstrates creative ability through patent disclosures, problem solving, scientific reports or technical papers and articles; participates in special projects as required.",8,General Dynamics Information Technology
16,Principal Scientist,168.23,171.83,175.51,179.26,183.1,187.02, Master's,"Initiates, directs, and executes advanced-level scientific research and/or development studies. Plans and performs advanced scientific studies on new and varied problems where only general objectives are stated; acts as technical liaison with customers and sponsors, to include the preparation and presentation of high-level technical information; interprets, organizes, and coordinates overall project assignments within an assigned scientific functional area; plans and executes laboratory research; analyzes, evaluates, and plans methods of approach for projects and organizes means to achieve the solution of problems; serves as technical team or task lead; may provide supervision to lowerlevel staff; establishes and defines the theoretical bases and principles which should apply and the empirical test procedures to be used; conducts complex investigations or tests pertaining to the development of new designs, methods, materials, or processes and investigates possible applications of results; interprets and evaluates test data and results of investigations and develops recommendations; recommends necessary corrections in technical analyses and design to ensure successful project completion; specifies equipment, materials and suppliers required for completion and implementation of projects; evaluates vendor capabilities to provide or build required services, supplies, or equipment; maintains a current knowledge of technologies through the careful review of reports, patents, literature and other data; demonstrates creative ability through patent disclosures, problem solving, scientific reports or technical papers and articles; participates in special projects as required.",10,General Dynamics Information Technology
17,Sr. Principal Scientist,195.16,199.33,203.6,207.96,212.41,216.95, PhD,"Makes decisions and recommendations that are recognized as authoritative and have an important impact on extensive scientific activities of the organization. This individual acts as primary technical liaison with customers and sponsors, to include the preparation and presentation of highlevel technical information; analyzes, evaluates, and plans methods of approach for projects and organizes means to achieve the solution of problems; serves as technical team or task lead; supervises and directs the work of lower-level scientific and technical personnel; plans and executes laboratory research and/or the development and/or evaluation of advanced physics or first-principles engineering models; establishes and defines the theoretical bases and principles which should apply and the empirical test procedures to be used; conducts complex investigations or tests pertaining to the development of new designs, methods, materials, or processes and investigates possible applications of results; interprets and evaluates test data and results of investigations and develops recommendations; recommends necessary corrections in technical analyses and design to ensure successful project completion; specifies equipment, materials and suppliers required for completion and implementation of projects; evaluates vendor capabilities to provide or build required services, supplies, or equipment; maintains a current knowledge of technologies through the careful review of reports, patents, literature and other data; demonstrates creative ability through patent disclosures, problem solving, scientific reports or technical papers and articles; participates in special projects as required.",15,General Dynamics Information Technology
18,Jr. Systems Engineer,76.89,78.54,80.22,81.93,83.69,85.48, Bachelor's,"Assists in the design, development, analysis, installation, maintenance, operation and servicing of computer operating/hardware systems; provides customer support; works under direct supervision; does related work as required.",0,General Dynamics Information Technology
19,Systems Engineer,93.49,95.49,97.53,99.62,101.75,103.93, Bachelor's,"Designs software tools and subsystems to support software reuse and domain analysis. Interprets software requirements and design specifications to code, and integrates and tests software components.",3,General Dynamics Information Technology
20,Staff Systems Engineer,115.17,117.64,120.16,122.73,125.35,128.04, Bachelor's,"Analyzes and studies complex system requirements. Designs software tools and subsystems to support software reuse and domain analyses and manages their implementation. Manages software development and support using formal specifications, data flow diagrams, other accepted design techniques and CASE tools. Estimates software development costs and schedule. Reviews existing programs and assists in making refinements, reducing operating time, and improving current techniques. Supervises software configuration management.",6,General Dynamics Information Technology
21,Sr. Systems Engineer,122.43,125.05,127.73,130.46,133.25,136.1, Bachelor's,"Participates in all phases of computer operating/hardware systems engineering, including design, analysis, and modeling at a highly technical level; analyzes complex computer software/hardware requirements to provide integration and implementation support; performs operating/hardware systems engineering, including full life cycle design and development; analyzes and documents users’ functional and data requirements; develops site survey instruments to gather detailed user requirements and business process analysis data; conducts functional user interviews to document functional, system, customization, and data requirements and data sources; formulates system concepts and architecture, specifies requirements, and develops implementation approaches; determines data requirements for internal processes and external interfaces; develops new systems or tailors commercial products to meet user requirements; directs and coordinates all activities necessary to complete a major engineering project or several small projects to specification and on schedule; may serve as task or project lead, exercising leadership in either a technical role training other hardware engineers and implementing and enforcing established standards and technologies, or in a project coordination role leading tasks and assuming responsibility for the design, development, test and delivery of a software system or application.",8,General Dynamics Information Technology
22,Principal Systems Engineer,128.88,131.64,134.46,137.34,140.28,143.28, Bachelor's,"Establishes state-of-the-art techniques for designing, developing, modifying and troubleshooting highly complex computer operating/hardware system; may work independently on projects requiring advanced, concentrated and diversified knowledge regarding engineering principles in broad assignment areas or may serve as project lead with supervisory responsibilities. Designs operating/hardware systems; formulates system concepts and architecture, specifies requirements, and develops implementation approaches; identifies and directs resolution of complex hardware/software interface issues; subject matter expert on emerging technologies; directs the development of systems specifications and technical documentation; may serve as project lead, either working independently in a technical role in field of specialization, or in providing work leadership with management or supervisory responsibility for the group.",10,General Dynamics Information Technology
23,Sr. Principal Systems Engineer,172.79,176.49,180.27,184.12,188.06,192.09, Master's,"Works at the highest systems level to provide expert advice and counsel to assigned functional/user area managers and project teams for systems of the most complex nature, often crossing functional lines. Designs major computer systems; coordinates work on subsystems; oversees the integration of new applications with established systems and files; confers with assigned systems users and evaluates utilization to identify requirements modifications which will facilitate integration, increase efficiency and/or reduce costs; investigates new procedures, equipment and operating systems to determine their usefulness and applicability to operations; assists systems management in developing systems analysis standards and provides consultative direction to applications programmers, systems software engineers, computer center operations and user personnel in the planning and scheduling of systems projects which cross functional lines or are of the most complex nature.",15,General Dynamics Information Technology
24,Information Engineer,117.42,119.93,122.5,125.12,127.8,130.53, Bachelor's,"Applies a business-wide set of disciplines for the planning, analysis, design and construction of information systems on a business-wide basis or across a major sector of the business. Performs business strategic systems planning, information planning, business and analysis. Performs process and data modeling in support of the planning and analysis efforts using both manual and automated tools such as Integrated Computer Aided Software Engineering (I-CASE) tools. Applies reverse engineering and reengineering disciplines to develop migration strategic and planning documents. Provides technical guidance in software engineering techniques and automated support tools.",5,General Dynamics Information Technology
25,Sr. Information Engineer,129.59,132.36,135.2,138.09,141.04,144.06, Bachelor's,"Applies business process improvement practices to reengineer methodologies/principles and business process modernization projects. Applies, as appropriate, activity and data modeling, transaction flow analysis, internal control and risk analysis and modern business methods and performance measurement techniques. Assist in establishing standards for information systems procedures. Develops and applies organization-wide information models for use in designing and building integrated, shared software and database management systems. Construct sound, logical business improvement opportunities consistent with the CIM guiding principles, cost savings, and open system architecture objectives. Provides daily supervision and direction to staff.",8,General Dynamics Information Technology
26,Principal Information Engineer,153.77,157.06,160.42,163.86,167.36,170.94, Bachelor's,"Applies an enterprise-wide set of disciplines for the planning, analysis, design and construction of information systems on an enterprise-wide basis or across a major sector of the enterprise. Develops analytical and computational techniques and methodology for problem solutions. Performs enterprise-wide strategic systems planning, business information planning, business and analysis. Performs process and data modeling in support of the planning and analysis efforts using both manual and automated tools such as Integrated Computer Aided Software Engineering (ICASE) tools. Applies reverse engineering and reengineering disciplines to develop migration strategic and planning documents. Provides technical guidance in software engineering techniques and automated support tools.",10,General Dynamics Information Technology
27,Jr. Software Engineer,74.47,76.06,77.69,79.35,81.05,82.79, Bachelor's,"Assists in the design, development, analysis, and implementation of software operating systems and software application programs; works under general supervision; does related work as required. Works from specifications to develop and modify operating systems and software applications; participates in the design, coding, testing, debugging, and documentation of programs; assists in the definition of limited design specifications and parameters; assists engineers or analysts with the hardware/software integration of the application or utility into software operating systems; assists in the analysis of system architecture requirements; may customize purchased applications; participates in the research of emerging technologies to determine impacts on application execution; analyzes and documents client needs and requirements; assists with writing, modifying, and maintaining technical documentation and specifications such as user manuals, system documentation, and training materials; performs integration testing and support of various computer operating and/or network systems; troubleshoots and provides customer support for software operating system and application issues; maintains current knowledge of relevant hardware and software applications as assigned.",0,General Dynamics Information Technology
28,Software Engineer,87.46,89.33,91.24,93.2,95.19,97.23, Bachelor's,"Participates in the design, development, analysis, and implementation of software operating systems and software application programs; works under general supervision; performs software operating systems and application engineering, including full life cycle design and development; works from specifications to develop and modify operating systems and software applications; participates in the design, coding, testing, debugging, and documentation of programs; participates in the definition of limited design specifications and parameters; assists engineers or analysts with the hardware/software integration of the application or utility into software operating systems; analyzes system architecture requirements; performs requirements acquisition and definition and data analysis; may customize purchased applications; performs technical and subject matter research on emerging technologies to determine impacts on application execution; analyzes and documents client needs and requirements; participates in the writing, modifying, and maintaining technical documentation and specifications such as user manuals, system documentation, and training materials; performs integration testing and support of various computer operating and/or network systems; troubleshoots and provides customer support for software operating system and application issues; maintains current knowledge of relevant hardware and software applications as assigned; participates in special projects as required.",2,General Dynamics Information Technology
29,Staff Software Engineer,98.56,100.67,102.83,105.03,107.28,109.57, Bachelor's,"Performs software operating systems and software application programs design, development, analysis, and implementation; performs software operating systems and application engineering, including full life cycle design and development; works under limited supervision; works from specifications to develop and modify operating systems and software programming applications; designs, codes, tests, debugs, and documents programs; defines limited design specifications and parameters; resolves hardware/software compatibility and interface design considerations; analyzes system architecture requirements; performs requirements acquisition and definition and data analysis; may customize purchased applications; conducts technical and subject matter research on emerging technologies to determine impacts on application execution; analyzes and documents client needs and requirements; participates in writing, modifying, and maintaining technical documentation and specifications such as user manuals, system documentation, and training materials; performs integration testing and support of various computer operating and/or network systems; troubleshoots and provides customer support for software operating systems and application issues; maintains current knowledge of relevant hardware and software applications as assigned.",3,General Dynamics Information Technology
30,Sr. Software Engineer,123.04,125.67,128.36,131.11,133.91,136.78, Bachelor's,"Participates in all phases of software operating systems and software application programs engineering, including design, analysis, and modeling at a highly technical level; Performs software operating systems and application engineering, including full life cycle application systems design and development; assesses system architecture and hardware limitations; defines and selects new concepts and approaches for the design, development, and implementation of software engineering applications; defines complex design specifications and parameters; resolves complex hardware/software compatibility and interface design considerations; performs requirements acquisition and definition and data analysis; directs research on emerging technologies to determine impacts on application execution; performs systems modeling; may perform database analysis, design, implementation, and testing; writes, modifies, and maintains technical documentation and specifications such as user manuals, system documentation, and training materials; performs integration testing and support of various computer operating and/or network systems; troubleshoots and provides customer support for software operating systems and application issues; analyzes and documents client needs and requirements; serves as liaison with clients, participates in meetings to ensure client needs are met and may make client presentations; may serve as task or team lead, exercising leadership in either a technical role training other software engineers and implementing and enforcing established standards and technologies, or in a project coordination role leading tasks and assuming responsibility for the design, development, test and delivery of a software system or application.",5,General Dynamics Information Technology
31,Principal Software Engineer,172.48,176.17,179.94,183.79,187.73,191.74, Master's,"Participates in all phases of software operating systems and software application programs engineering, including design, analysis, and modeling at an expert level; establishes state-of-the-art techniques for designing, developing, modifying and troubleshooting highly complex software operating systems and applications architectures; defines complex design specifications and parameters; identifies and directs resolution of complex hardware/software interface issues; can serve as a subject matter expert on emerging technologies; directs the development of systems specifications and technical documentation; may serve as project lead, either working independently in a technical role in field of specialization, or providing work leadership with management or supervisory responsibility for the group.",8,General Dynamics Information Technology
32,Software Architect,161.09,164.54,168.06,171.66,175.33,179.08, Master's,"Establishes state-of-the-art techniques for designing, developing, modifying and troubleshooting highly complex software operating systems and applications architectures; defines complex design specifications and parameters; identifies and directs resolution of complex hardware/software interface issues; is recognized as a subject matter expert in all areas of software engineering, including emerging technologies; directs the development of systems specifications and technical documentation; may serve as project lead, either working independently in a technical role in field of specialization, or providing work leadership with management or supervisory responsibility for the group; responsible for task cost, schedule and level of effort estimates; reports project progress directly to senior management; performs business development services; may provide expertise to multiple projects and tasks; may supervise and direct the work of assigned staff.",10,General Dynamics Information Technology
33,Computer Security Specialist,98.07,100.17,102.32,104.51,106.74,109.03, Bachelor's," Gathers and organizes technical information about an organization’s mission goals and needs, IT infrastructure and existing security/IA products. Assists in developing security/IA policies, procedures and standards. Responsibilities will include working with the customer to minimize risks and assess and secure networks.",7,General Dynamics Information Technology
34,Sr. Computer Security Systems Specialist,138.02,140.97,143.99,147.07,150.22,153.43, Bachelor's,"Gathers and organizes technical information about an organization’s mission goals and needs, IT infrastructure, and existing security/IA products. Assists in developing security/IA policies, procedures, and standards. Responsibilities will include working with the customer to minimize risks and assess and secure networks. Evaluates and recommends security products for various platforms and initiatives. May act as a project leader and provide technical leadership and guidance.",10,General Dynamics Information Technology
35,Jr. Database Architect,78.59,80.27,81.99,83.74,85.53,87.36, Bachelor's,"Participates in the design, maintenance, enhancement, and coding of relational databases; analyzes and determines information needs and elements, data relationships and attributes, data flow and storage requirements, and data output and reporting capabilities; assists on developing data modeling and participates in data acquisition and access analysis and design, and archive, recovery, and load strategy design and implementation; coordinates new data development ensuring consistency and integration with existing data warehouse structure; reviews requests for data and data usage, researches data sources for new and better data feeds; participates in continuous improvement efforts in enhancing performance and providing increased functionality; assists with the development of screens and queries; tests designed applications; assists with upgrades and maintenance of hardware and software; maintains current knowledge of relevant hardware and software applications as assigned; participates in special projects as required.",2,General Dynamics Information Technology
36,Database Architect,87.36,89.22,91.13,93.08,95.08,97.11, Bachelor's,"Designs, maintains, enhances, and codes relational databases; analyzes and determines information needs and elements, data relationships and attributes, data flow and storage requirements, and data output and reporting capabilities; develops data modeling and participates in data acquisition and access analysis and design, and archive, recovery, and load strategy design and implementation; coordinates new data development ensuring consistency and integration with existing data warehouse structure; reviews requests for data and data usage, researches data sources for new and better data feeds; participates in continuous improvement efforts in enhancing performance and providing increased functionality; designs data structures to accommodate database production, storage, maintenance, and accessibility; develops screens and queries; tests designed applications; performs upgrades and maintenance of hardware and software; provides technical support and guidance to users; maintains current knowledge of relevant hardware and software applications as assigned; may serve as team or technical task lead; participates in special projects as required.",3,General Dynamics Information Technology
37,Sr. Database Architect,110.47,112.83,115.25,117.72,120.23,122.81, Bachelor's,"Designs, maintains, enhances, and codes relational databases; analyzes and determines information needs and elements, data relationships and attributes, data flow and storage requirements, and data output and reporting capabilities; develops data modeling and is responsible for data acquisition and access analysis and design, and archive, recovery, and load strategy design and implementation; coordinates new data development ensuring consistency and integration with existing data warehouse structure; reviews business requests for data and data usage, researches data sources for new and better data feeds; participates in continuous improvement efforts in enhancing performance and providing increased functionality; designs data structures to accommodate database production, storage, maintenance, and accessibility; develops screens and queries; tests designed applications; may perform upgrades and maintenance of hardware and software; provides technical support and guidance to users; maintains current knowledge of relevant hardware and software applications as assigned; may serve as team or technical task lead and provide guidance and training to lower-level staff; participates in special projects as required.",5,General Dynamics Information Technology
38,Computer Programmer/Analyst,78.71,80.39,82.11,83.87,85.66,87.5, Bachelor's,"Generates new code and corrects, converts, and/or modifies existing code to meet documented standards; designs new and/or redesigns and maintains existing software products; identifies client needs and requirements based on evaluation of client documentation and interviews; performs data and technical analysis; performs a variety of testing procedures on assigned products, analyzes test results, and corrects problems; prepares test scripts and descriptions and examines to locate necessary modifications; analyzes and modifies program specifications and documentation to support contract requirements; may design and develop computer-based and/or multimedia courseware for customer training initiatives utilizing appropriate authoring languages, systems, animation and graphics software; provides customer support to clients and troubleshoots problems.",3,General Dynamics Information Technology
39,Staff Computer Programmer/Analyst,110.69,113.06,115.48,117.95,120.47,123.05, Bachelor's,"Programs, designs, analyzes, codes, implements, and tests software applications and modules in various languages, including business software systems and applications; provides network support including providing technical solutions and training; writes, modifies, and maintains software documentation and specifications; performs integration testing and support of various computer operating and/or network systems; installs, configures, and troubleshoots various hardware and software platforms; analyzes and documents client needs and requirements; may train other programmer/analysts; develops product documentation to describe system requirements and use; may design and develop computer-based and/or multimedia courseware for customer training initiatives utilizing appropriate authoring languages, systems, animation and graphics software; participates in meeting; prepares reports on analyses, findings, and project progress; performs technical research on emerging technologies to determine impacts on application execution.",4,General Dynamics Information Technology
40,Sr. Computer Programmer/Analyst,114.3,116.75,119.25,121.8,124.41,127.07, Bachelor's,"Participates in all phases of software development, including system design, analysis, architecture, and engineering; programs, designs, analyzes, codes, implements, and tests software applications, modules, and databases in various languages, including those associated with scientific, technical, or engineering problems; performs process analyses in order to recommend improvements; performs system, network, and/or database administration, analysis, design, implementation, and testing; analyzes and documents client needs and requirements; provides technical support including providing technical solutions and training; writes, modifies, and maintains software documentation and specifications; Performs a variety of testing for computer operating and/or network systems; performs data and technical analysis and information engineering; installs, configures, and troubleshoots various hardware and software platforms; may design and develop computerbased and/or multimedia courseware for customer training initiatives utilizing appropriate authoring languages, systems, animation and graphics software; participates in meetings and design reviews; prepares reports on analyses, findings, and project progress; performs technical research on emerging technologies to determine impacts on application execution; may serve as a technical task or team lead.",5,General Dynamics Information Technology
41,Principal Computer Programmer/Analyst,134.29,137.17,140.1,143.1,146.16,149.29, Bachelor's,"Participates in all phases of software development, including system design, analysis, architecture, and engineering; plans and directs the development of major programming projects and the installation of systems; programs, designs, analyzes, codes, implements, and tests software applications, modules, and databases in various languages, including those associated with scientific, technical, or engineering problems; performs process analyses in order to recommend improvements; performs system, network, and/or database administration, analysis, design, implementation, and testing; analyzes and documents client needs and requirements; provides technical support including providing technical solutions and training; writes, modifies, and maintains software documentation and specifications; performs a variety of testing for computer operating and/or network systems; performs data and technical analysis and information engineering; installs, configures, and troubleshoots various hardware and software platforms; may design and develop computer-based and/or multimedia courseware for customer training initiatives utilizing appropriate authoring languages, systems, animation and graphics software; participates in meetings and design reviews; prepares reports on analyses, findings, and project progress; may supervise and direct the work of lower-level analysts; performs technical research on emerging technologies to determine impacts on application execution; may serve as a technical task or team lead.",8,General Dynamics Information Technology
42,Computer Systems Programmer,106.1,108.37,110.69,113.06,115.47,117.95, Bachelor's,"Create and/or maintain operating systems, communications software, database packages, compilers, assemblers, and utility programs. Modify existing software, as well as create special-purpose software to ensure efficiency and integrity between systems and applications. Assist in the development, testing and maintenance of disaster recovery procedures.",5,General Dynamics Information Technology
43,Web Designer,77.77,79.44,81.14,82.87,84.64,86.46, Bachelor's,"Designs and builds Web pages using a variety of graphics software applications, techniques, and tools; designs and develops user-interface features, site animation, and special-effects elements; designs the Website to support the customer’s strategies and goals relative to external communications; contributes to the Web design group’s efforts to specify, improve, and implement the look, feel, and function of online projects; interfaces directly with customers, users, graphic artists, and Web software developers.",2,General Dynamics Information Technology
44,Web Developer,90.55,92.48,94.46,96.48,98.55,100.66, Bachelor's,"Provides application development and technical support for internal and external Webs; develops Web pages and applications for customers; collaborates with graphic artists to develop Web page graphics that support interactive, marketing-focused content; provides technical consultation in new systems development, new package evaluations and enhancements of existing systems; prepares functional specifications from which programs will be written, then designs, codes, tests, debugs and documents programs; participates in the technical design, development, testing, implementation and maintenance of Web site enhancements; plans, schedules and conducts systems tests, monitors test results, and takes appropriate corrective action; may prepare technical user guides.",4,General Dynamics Information Technology
45,Sr. Web Developer,123.3,125.94,128.63,131.39,134.2,137.07, Bachelor's,"Designs and develops wellintegrated and cost-effective solutions for internal and external Webs; works closely with client project managers and technical leaders to understand customers’ business objectives and systems requirements; designs and develops Web infrastructures; designs and implements an intranet strategy for authorization of users to access controlled components; designs relational databases to perform well logically and physically for decision support; coordinates enhancements and maintenance of Web systems and sites; provides recommendations for server operating systems, hardware requirements and encryption standards for communications to and from secure servers; provides technical advice and expertise to Webmasters and Web developers in the installation, acceptance testing, and evaluation of newly released and beta software; may serve as a functional/technical team or task lead.",8,General Dynamics Information Technology
46,Web Tech Administrator,89.15,91.05,93.0,94.99,97.02,99.1, Bachelor's,"Responsible for achieving overall technical integrity of organization’s Website. Maintains and upgrades hardware and software including website technical architecture related to hardware and telecommunication connectivity. Administers e-mail, chat, and FTP and HTTP services. Communicates router configuration changes and troubleshoots system errors and bugs. Maintains servers, creates monitoring reports and logs, and ensures functionality of links. Monitors site for acceptable performance and user accessibility. Establishes backups and monitors site security.",4,General Dynamics Information Technology
47,Web Content Manager,87.28,89.14,91.05,93.0,94.99,97.02, Bachelor's,"Responsible for developing and providing content that will motivate and entertain users so that they regularly access the Website and utilize it as a major source for information and decision making. Responsible for managing/performing Website editorial activities including gathering and researching information that enhances the value of the site. Locates, negotiates, and pursues content. Seeks out customers to gather feedback for Website improvement and enhancements.",2,General Dynamics Information Technology
48,Web Security Administrator,87.44,89.31,91.22,93.17,95.17,97.2, Bachelor's, Performs all procedures necessary to ensure the safety of the organization’s Website and transactions across the Internet. Applies Internet Firewall technologies to maintain security. Ensure that the user community understands and adheres to necessary procedures to maintain security. Works under limited supervision.,4,General Dynamics Information Technology
49,Computer Systems Analyst,87.85,89.73,91.65,93.61,95.62,97.66, Bachelor's,Develops requirements for information systems form a project's inception to conclusion. Develops required specifications for simple to moderately complex systems. Assists senior computer systems analyst in preparing input and test data for the proposed system.,3,General Dynamics Information Technology
50,Staff Computer Systems Analyst,102.8,105.0,107.25,109.54,111.89,114.28, Bachelor's,"Analyzes and develops computer software processing a wide range of capabilities, including numerous engineering, business, and records management duties. Develops plans for systems from project inception to conclusion. Analyzes the problem and the information to be processed. Defines the problem, and develops system requirements and program specifications from which programmers prepare detailed flow charts, programs, and tests. Coordinates closely with programmers to ensure proper implementation of program and system specifications. Develops, in conjunction with functional users, system alternative solutions.",5,General Dynamics Information Technology
